base_cluster,other_cluster,options,outlier_id,last_option,phi_pick,qwen_pick
"[19, 14]","[14, 8]","['64729', '72517', '46039', '26372', '26703']",46039,26703,26703,26703
"[19, 14]","[17, 18]","['21543', '72517', '26703', '26372', '64729']",21543,64729,26372,64729
"[19, 14]","[17, 21]","['72517', '64729', '26372', '26703', '9795']",9795,9795,9795,9795
"[19, 14]","[3, 7]","['26372', '72517', '37907', '26703', '64729']",37907,64729,26703,64729
"[19, 18]","[14, 9]","['35149', '30721', '49556', '55086', '40550']",40550,40550,40550,55086
"[19, 18]","[17, 18]","['58616', '41277', '66935', '49556', '30721']",66935,30721,30721,30721
"[19, 18]","[17, 21]","['58616', '36535', '40487', '35149', '74633']",40487,74633,74633,74633
"[19, 25]","[3, 17]","['47247', '74532', '38478', '26994', '33749']",38478,33749,38478,33749
"[19, 25]","[9, 26]","['74532', '47247', '59747', '7474', '26994']",7474,26994,26994,7474
"[19, 28]","[0, 14]","['23197', '40111', '42272', '43363', '39894']",39894,39894,39894,39894
"[19, 28]","[0, 24]","['43363', '42272', '52721', '37989', '40111']",37989,40111,52721,40111
"[19, 5]","[17, 5]","['32569', '59952', '7913', '55314', '63902']",7913,63902,55314,59952
"[19, 8]","[15, 13]","['6777', '24364', '71082', '36396', '19346']",24364,19346,36396,71082
"[3, 12]","[18, 23]","['37955', '37360', '1181', '20968', '27821']",37360,27821,1181,27821
"[3, 12]","[19, 18]","['37955', '20968', '27821', '58616', '1181']",58616,1181,1181,58616
"[3, 12]","[19, 28]","['27821', '20968', '37955', '40111', '1181']",40111,1181,1181,5
"[3, 16]","[17, 5]","['56017', '177', '59100', '11746', '33045']",33045,33045,11746,56017
"[3, 21]","[0, 14]","['17291', '42206', '14038', '57272', '47060']",17291,47060,47060,47060
"[3, 21]","[5, 4]","['42206', '27706', '47060', '14038', '57272']",27706,57272,57272,57272
"[3, 26]","[19, 18]","['49556', '34449', '19246', '50906', '18887']",49556,18887,50906,18887
"[3, 26]","[19, 5]","['72586', '40031', '32729', '63902', '18887']",63902,18887,63902,18887
"[3, 3]","[19, 14]","['10017', '22487', '72700', '26703', '994']",26703,994,994,994
"[3, 3]","[19, 25]","['30004', '33749', '22002', '10131', '22487']",33749,22487,22487,33749
"[3, 4]","[19, 10]","['11039', '20671', '35787', '73023', '9383']",73023,9383,9383,73023
"[3, 5]","[9, 26]","['64', '12162', '63514', '23716', '74226']",23716,74226,23716,74226
"[3, 7]","[19, 13]","['43324', '4286', '73164', '30859', '37907']",43324,37907,30859,43324
"[3, 7]","[19, 28]","['19992', '73164', '37907', '40111', '4286']",40111,4286,4286,4286
"[3, 7]","[7, 3]","['37907', '73164', '75828', '19796', '19992']",75828,19992,19796,37907
"[4, 27]","[0, 7]","['77515', '12888', '5222', '70239', '10984']",10984,10984,10984,10984
"[4, 27]","[14, 7]","['77045', '77515', '70239', '5222', '12888']",77045,12888,5222,77045
"[4, 27]","[15, 17]","['12888', '5222', '60915', '77515', '70239']",60915,70239,77515,70239
"[5, 19]","[19, 13]","['77183', '63077', '51211', '43324', '54232']",43324,54232,43324,54232
"[5, 29]","[14, 9]","['18711', '52548', '26678', '51743', '57316']",26678,57316,57316,57316
"[5, 29]","[17, 18]","['66316', '51743', '52548', '18711', '57316']",66316,57316,18711,51743
"[5, 29]","[17, 21]","['21765', '62454', '57316', '55950', '52548']",62454,52548,52548,52548
"[5, 29]","[3, 28]","['21765', '57316', '51743', '52548', '12683']",12683,12683,12683,57316
"[5, 29]","[7, 1]","['16951', '57316', '51743', '21765', '55950']",16951,55950,55950,55950
"[5, 29]","[9, 26]","['55950', '21765', '50181', '57316', '52548']",50181,52548,50181,52548
"[5, 4]","[0, 24]","['63485', '35725', '2004', '48780', '51114']",48780,51114,48780,51114
"[5, 4]","[9, 11]","['70560', '2004', '30907', '63485', '35725']",30907,35725,30907,30907
"[5, 4]","[9, 3]","['62609', '27706', '63485', '1268', '51114']",1268,51114,1268,51114
"[7, 1]","[0, 7]","['10825', '12421', '66807', '17550', '12376']",66807,12376,66807,66807
"[7, 1]","[15, 17]","['12421', '53652', '10825', '12376', '47834']",47834,47834,47834,53652
"[7, 1]","[3, 26]","['12376', '72586', '16951', '53652', '8109']",72586,8109,8109,8109
"[7, 22]","[3, 16]","['23132', '79411', '40679', '31113', '56017']",56017,56017,56017,56017
"[7, 22]","[3, 17]","['54792', '40679', '23132', '79411', '31113']",54792,31113,31113,31113
"[7, 22]","[4, 27]","['23132', '40679', '31113', '79411', '70239']",70239,70239,70239,70239
"[7, 22]","[5, 4]","['40679', '27706', '23132', '79411', '31113']",27706,31113,79411,31113
"[7, 3]","[0, 0]","['75828', '52457', '64781', '28082', '61767']",28082,61767,64781,61767
"[7, 3]","[0, 7]","['66807', '52457', '61767', '75828', '64781']",66807,64781,64781,64781
"[7, 3]","[15, 13]","['75828', '64781', '61767', '24364', '52457']",24364,52457,52457,52457
"[7, 3]","[3, 17]","['33084', '61767', '75828', '64781', '52457']",33084,52457,52457,52457
"[9, 11]","[15, 28]","['10526', '335', '78534', '15606', '4186']",10526,4186,15606,335
"[9, 3]","[0, 0]","['1268', '28082', '9662', '64671', '14914']",28082,14914,64671,28082
"[9, 3]","[0, 2]","['74662', '80744', '1268', '64671', '9662']",80744,9662,9662,80744
"[9, 3]","[15, 28]","['14914', '74662', '9662', '3258', '64671']",3258,64671,64671,64671
"[9, 3]","[19, 28]","['14914', '1268', '9662', '23197', '74662']",23197,74662,74662,74662
"[9, 4]","[15, 28]","['79413', '64614', '67905', '80219', '50510']",67905,50510,50510,67905
"[9, 4]","[19, 13]","['80219', '50510', '79413', '64614', '43324']",43324,43324,43324,50510
"[9, 4]","[7, 1]","['79413', '80219', '64614', '12376', '50510']",12376,50510,50510,12376
