base_cluster,other_cluster,options,outlier_id,last_option,phi_pick,qwen_pick
5,"[19, 25]","['21765', '54232', '35619', '63077', '26994']",26994,26994,63077,26994
5,"[19, 5]","['51743', '40863', '77183', '63902', '53032']",63902,53032,63902,77183
5,"[9, 26]","['27706', '48795', '57316', '51743', '23716']",23716,23716,51743,23716
7,"[0, 24]","['12421', '61767', '31926', '12376', '10825']",31926,10825,12376,10825
7,"[14, 7]","['23132', '12376', '54372', '3536', '38835']",38835,38835,3536,38835
7,"[17, 5]","['31113', '53652', '17550', '16951', '72055']",72055,72055,16951,72055
7,"[3, 17]","['40679', '61767', '17550', '54372', '54792']",54792,54792,54372,54792
7,"[3, 17]","['79411', '10825', '23132', '53579', '3536']",53579,3536,53579,3536
7,"[3, 4]","['17550', '40679', '10825', '11039', '3536']",11039,3536,11039,3536
7,"[5, 22]","['57572', '2277', '79411', '12376', '8109']",57572,8109,12376,79411
9,"[0, 2]","['80219', '41897', '80744', '1268', '9662']",80744,9662,1268,9662
9,"[0, 7]","['74662', '66807', '64671', '15606', '64614']",66807,64614,15606,64614
9,"[14, 9]","['50510', '78534', '14914', '39708', '6759']",39708,6759,39708,6759
9,"[19, 10]","['21540', '52758', '6759', '335', '9662']",21540,9662,335,9662
9,"[19, 5]","['7474', '74662', '4186', '76431', '50181']",76431,50181,76431,76431
9,"[3, 26]","['34449', '23716', '52758', '1268', '27788']",34449,27788,1268,27788
9,"[3, 26]","['74662', '80219', '23716', '19246', '41897']",19246,41897,19246,41897
9,"[7, 1]","['23716', '15606', '12376', '30907', '61914']",12376,61914,30907,61914
9,"[7, 3]","['74662', '64671', '23716', '52457', '1268']",52457,1268,52457,52457
14,"[18, 25]","['25607', '40877', '40550', '39708', '25711']",25711,25711,39708,25711
14,"[18, 25]","['62071', '40877', '6508', '14102', '77045']",62071,77045,14102,77045
14,"[19, 10]","['40877', '6508', '28732', '55791', '26506']",55791,26506,55791,55791
14,"[19, 13]","['77045', '26354', '28732', '6508', '25607']",26354,25607,6508,28732
14,"[19, 28]","['67483', '6508', '43363', '28732', '14102']",43363,14102,28732,14102
15,"[14, 9]","['3384', '24364', '1225', '14102', '7489']",14102,7489,14102,14102
15,"[18, 25]","['53137', '62071', '42684', '38548', '60915']",62071,60915,38548,60915
15,"[19, 28]","['34763', '60915', '47834', '23197', '3258']",23197,3258,23197,23197
15,"[3, 3]","['53137', '60915', '47834', '72700', '7489']",72700,7489,7489,72700
15,"[5, 19]","['34763', '54232', '25079', '38548', '67905']",54232,67905,67905,67905
15,"[7, 1]","['11908', '25079', '20839', '10526', '53652']",53652,53652,53652,53652
15,"[7, 3]","['53137', '1225', '11908', '68970', '61767']",61767,61767,68970,61767
15,"[9, 3]","['67905', '74662', '24364', '1225', '34763']",74662,34763,1225,74662
15,"[9, 3]","['9662', '1225', '7489', '23274', '38548']",9662,38548,23274,38548
17,"[0, 6]","['62454', '7913', '31693', '49395', '66316']",49395,66316,49395,49395
17,"[14, 8]","['50221', '69704', '46039', '46660', '62549']",46039,62549,46660,62549
17,"[19, 8]","['69704', '70105', '66935', '50221', '6777']",6777,6777,50221,6777
17,"[7, 3]","['69704', '52457', '62549', '6955', '21408']",52457,21408,6955,52457
17,"[9, 11]","['66935', '33045', '335', '31693', '50221']",335,50221,31693,50221
17,"[9, 3]","['9795', '31693', '9662', '33045', '62454']",9662,62454,33045,62454
18,"[0, 7]","['48306', '4132', '67584', '72266', '64148']",72266,64148,72266,4132
18,"[19, 28]","['43363', '65195', '3282', '15451', '61353']",43363,61353,15451,61353
18,"[19, 8]","['61353', '12104', '72365', '71082', '42151']",71082,42151,71082,42151
18,"[5, 29]","['18711', '14167', '25667', '32105', '78682']",18711,78682,32105,78682
18,"[5, 4]","['15451', '25667', '62609', '26755', '65195']",62609,65195,26755,62609
18,"[7, 1]","['26052', '10825', '4132', '20502', '73827']",10825,73827,20502,73827
19,"[0, 0]","['64729', '76431', '14834', '58616', '74633']",14834,74633,74633,74633
19,"[0, 24]","['29042', '37989', '26354', '40111', '33749']",37989,33749,40111,33749
19,"[14, 7]","['36396', '17017', '64729', '51393', '43324']",51393,43324,51393,43324
19,"[15, 13]","['71082', '24364', '52721', '72346', '33749']",24364,33749,72346,33749
19,"[17, 18]","['43324', '31693', '73023', '41277', '35149']",31693,35149,41277,73023
19,"[17, 5]","['59952', '26703', '30721', '35149', '50221']",50221,50221,35149,50221
19,"[18, 25]","['26994', '25618', '25711', '73023', '74633']",25711,74633,73023,73023
19,"[3, 16]","['43396', '76431', '56017', '35149', '64729']",56017,64729,35149,64729
19,"[3, 17]","['52721', '55086', '25168', '33749', '38478']",38478,38478,33749,38478
19,"[3, 26]","['63902', '55314', '26372', '49864', '73023']",49864,73023,49864,73023
19,"[3, 4]","['74633', '43324', '76431', '26372', '11039']",11039,11039,26372,11039
19,"[3, 4]","['76431', '20671', '42272', '37914', '26372']",20671,26372,37914,26372
19,"[3, 5]","['64', '71082', '59747', '74633', '41277']",64,41277,74633,71082
19,"[3, 7]","['63902', '73164', '36396', '59952', '42272']",73164,42272,59952,42272
19,"[4, 27]","['43324', '71082', '77515', '36535', '49556']",77515,49556,36535,77515
19,"[5, 19]","['36396', '59747', '77183', '59952', '71082']",77183,71082,59952,71082
19,"[5, 29]","['26994', '18711', '35479', '25168', '42272']",18711,42272,25168,42272
19,"[7, 1]","['37914', '35479', '36396', '17550', '55791']",17550,55791,17550,55791
