base_cluster,other_cluster,group,outlier_id,gemma_description_pick,llama_description_pick,options,last_option
"[3, 4]","[5, 4]","['9383', '20671', '35787', '11039', '70560']",70560,70560,70560,"['11039', '20671', '9383', '35787', '70560']",70560
"[9, 26]","[3, 26]","['50181', '6759', '23716', '27788', '18887']",18887,18887,18887,"['6759', '27788', '23716', '50181', '18887']",18887
"[3, 3]","[7, 3]","['994', '10017', '72700', '22002', '61767']",61767,61767,61767,"['994', '72700', '22002', '10017', '61767']",61767
"[3, 17]","[15, 17]","['54792', '38478', '53579', '12043', '47834']",47834,47834,47834,"['54792', '38478', '53579', '12043', '47834']",47834
"[3, 7]","[0, 7]","['19796', '37907', '73164', '19992', '65801']",65801,37907,37907,"['65801', '19992', '19796', '73164', '37907']",37907
"[19, 5]","[17, 5]","['76431', '55314', '59952', '32569', '72055']",72055,76431,72055,"['59952', '72055', '32569', '55314', '76431']",76431
"[15, 21]","[17, 21]","['3384', '20839', '13497', '7489', '9795']",9795,20839,20839,"['3384', '13497', '9795', '7489', '20839']",20839
"[3, 7]","[14, 7]","['19796', '37907', '30859', '19992', '67483']",67483,19796,19796,"['67483', '37907', '19992', '30859', '19796']",19796
"[3, 3]","[7, 3]","['10131', '994', '22487', '10017', '64781']",64781,64781,64781,"['10017', '10131', '994', '22487', '64781']",64781
"[5, 4]","[9, 4]","['51114', '35725', '70560', '63485', '64614']",64614,51114,51114,"['64614', '63485', '35725', '70560', '51114']",51114
"[0, 7]","[3, 7]","['15613', '72266', '65801', '66807', '19992']",19992,19992,19992,"['66807', '65801', '15613', '72266', '19992']",19992
"[3, 21]","[15, 21]","['14038', '57272', '42206', '47060', '20839']",20839,20839,20839,"['57272', '42206', '14038', '47060', '20839']",20839
"[14, 7]","[0, 7]","['67483', '77045', '51393', '25607', '10984']",10984,67483,10984,"['51393', '10984', '25607', '77045', '67483']",67483
"[19, 25]","[18, 25]","['26994', '47247', '59747', '74532', '4132']",4132,4132,4132,"['59747', '74532', '26994', '47247', '4132']",4132
"[5, 4]","[3, 4]","['2004', '51114', '53032', '70560', '9383']",9383,51114,51114,"['2004', '9383', '53032', '70560', '51114']",51114
"[3, 17]","[15, 17]","['33084', '53579', '64047', '38478', '60915']",60915,60915,60915,"['53579', '64047', '38478', '33084', '60915']",60915
"[3, 26]","[9, 26]","['40031', '34449', '1064', '11033', '7474']",7474,7474,7474,"['34449', '40031', '1064', '11033', '7474']",7474
"[0, 14]","[19, 14]","['42604', '80522', '1261', '75707', '64729']",64729,80522,80522,"['1261', '75707', '42604', '64729', '80522']",80522
"[17, 18]","[19, 18]","['31693', '21408', '6955', '66316', '30721']",30721,66316,66316,"['30721', '6955', '21408', '31693', '66316']",66316
"[9, 3]","[3, 3]","['9662', '64671', '14914', '1268', '30004']",30004,9662,9662,"['64671', '14914', '1268', '30004', '9662']",9662
"[19, 28]","[3, 28]","['42272', '43363', '55589', '40111', '55090']",55090,40111,40111,"['42272', '43363', '55589', '55090', '40111']",40111
"[18, 25]","[19, 25]","['4132', '25711', '73827', '3282', '47247']",47247,3282,3282,"['47247', '4132', '73827', '25711', '3282']",3282
"[3, 3]","[7, 3]","['72700', '22002', '22487', '10131', '75828']",75828,22487,22487,"['22002', '72700', '75828', '10131', '22487']",22487
"[17, 21]","[3, 21]","['69704', '9795', '62549', '40487', '47060']",47060,47060,47060,"['69704', '62549', '40487', '9795', '47060']",47060
"[3, 7]","[14, 7]","['19992', '4286', '30859', '73164', '77045']",77045,77045,77045,"['73164', '4286', '19992', '30859', '77045']",77045
"[3, 26]","[9, 26]","['32729', '68096', '50906', '72586', '50181']",50181,50906,50906,"['32729', '68096', '50181', '72586', '50906']",50906
"[17, 18]","[19, 18]","['21543', '21408', '70105', '66935', '55086']",55086,21408,21543,"['55086', '21543', '70105', '66935', '21408']",21408
"[5, 22]","[7, 22]","['7217', '57572', '40863', '48795', '40679']",40679,57572,57572,"['7217', '40679', '48795', '40863', '57572']",57572
"[17, 5]","[3, 5]","['50221', '7913', '33045', '72055', '63514']",63514,63514,50221,"['72055', '33045', '7913', '50221', '63514']",63514
"[19, 18]","[17, 18]","['58616', '35149', '36535', '74633', '46660']",46660,36535,36535,"['35149', '74633', '46660', '58616', '36535']",36535
"[3, 17]","[15, 17]","['12043', '64047', '54792', '38478', '1225']",1225,12043,1225,"['54792', '38478', '1225', '64047', '12043']",12043
"[5, 4]","[9, 4]","['53032', '2004', '27706', '70560', '50510']",50510,27706,2004,"['53032', '50510', '2004', '70560', '27706']",27706
"[0, 14]","[19, 14]","['1261', '80522', '37963', '42604', '26372']",26372,80522,26372,"['42604', '37963', '1261', '26372', '80522']",80522
"[14, 7]","[0, 7]","['67483', '51393', '25607', '77045', '10984']",10984,10984,10984,"['51393', '77045', '67483', '25607', '10984']",10984
"[19, 25]","[18, 25]","['74532', '59747', '33749', '47247', '3282']",3282,33749,33749,"['3282', '74532', '47247', '59747', '33749']",33749
"[19, 5]","[17, 5]","['76431', '55314', '32569', '72346', '72055']",72055,72055,72055,"['32569', '76431', '72346', '55314', '72055']",72055
"[3, 26]","[9, 26]","['68096', '1064', '11033', '49864', '50181']",50181,1064,1064,"['11033', '49864', '68096', '50181', '1064']",1064
"[3, 4]","[9, 4]","['35787', '11039', '20671', '9383', '50510']",50510,35787,35787,"['11039', '20671', '9383', '50510', '35787']",35787
"[19, 18]","[17, 18]","['36535', '55086', '58616', '35149', '46660']",46660,46660,46660,"['35149', '36535', '58616', '55086', '46660']",46660
"[19, 18]","[17, 18]","['29042', '55086', '41277', '49556', '70105']",70105,41277,41277,"['49556', '70105', '29042', '55086', '41277']",41277
"[9, 3]","[7, 3]","['14914', '1268', '9662', '64671', '75828']",75828,9662,9662,"['14914', '64671', '1268', '75828', '9662']",9662
"[19, 18]","[17, 18]","['49556', '55086', '30721', '41277', '21543']",21543,30721,41277,"['21543', '55086', '49556', '41277', '30721']",30721
"[7, 22]","[5, 22]","['79411', '23132', '40679', '31113', '48795']",48795,23132,23132,"['79411', '48795', '31113', '40679', '23132']",23132
"[19, 28]","[3, 28]","['52721', '55589', '40111', '42272', '42226']",42226,42226,42226,"['42272', '40111', '55589', '52721', '42226']",42226
"[3, 26]","[9, 26]","['9147', '11033', '72586', '68096', '50181']",50181,72586,72586,"['11033', '50181', '68096', '9147', '72586']",72586
"[19, 5]","[17, 5]","['32569', '59952', '76431', '63902', '33045']",33045,59952,59952,"['76431', '63902', '32569', '33045', '59952']",59952
"[0, 14]","[19, 14]","['39894', '42604', '37963', '80522', '26703']",26703,26703,26703,"['42604', '39894', '37963', '80522', '26703']",26703
"[14, 7]","[3, 7]","['38835', '25607', '77045', '67483', '73164']",73164,73164,73164,"['38835', '77045', '25607', '67483', '73164']",73164
