base_cluster,other_cluster,group,outlier_id,gemma_description_pick,llama_description_pick,options,last_option
"[5, 19]","[5, 22]","['63077', '10743', '53655', '60473', '7217']",7217,60473,60473,"['63077', '7217', '10743', '53655', '60473']",60473
"[14, 7]","[14, 9]","['38835', '51393', '25607', '77045', '39708']",39708,51393,51393,"['38835', '25607', '39708', '77045', '51393']",51393
"[18, 25]","[18, 23]","['73827', '4132', '62071', '3282', '64247']",64247,4132,4132,"['62071', '64247', '73827', '3282', '4132']",4132
"[0, 6]","[0, 0]","['75880', '43375', '59474', '41154', '14834']",14834,75880,43375,"['59474', '14834', '41154', '43375', '75880']",75880
"[3, 17]","[3, 16]","['12043', '38478', '64047', '53579', '11746']",11746,64047,64047,"['11746', '53579', '12043', '38478', '64047']",64047
"[3, 17]","[3, 26]","['64047', '54792', '12043', '38478', '50906']",50906,54792,54792,"['38478', '12043', '50906', '64047', '54792']",54792
"[19, 28]","[19, 25]","['42272', '52721', '43363', '23197', '47247']",47247,23197,231973,"['42272', '47247', '52721', '23197', '43363']",43363
"[18, 23]","[18, 25]","['59794', '5909', '48306', '72365', '4132']",4132,5909,5909,"['72365', '59794', '4132', '48306', '5909']",5909
"[19, 14]","[19, 10]","['26703', '64729', '72517', '26372', '21540']",21540,72517,72517,"['26372', '26703', '64729', '21540', '72517']",72517
"[19, 28]","[19, 10]","['55589', '52721', '23197', '40111', '55791']",55791,23197,23197,"['55589', '40111', '52721', '55791', '23197']",23197
"[15, 28]","[15, 21]","['38548', '67905', '10526', '3258', '7489']",7489,3258,7489,"['38548', '7489', '67905', '10526', '3258']",3258
"[14, 8]","[14, 9]","['46039', '40877', '28732', '39691', '26678']",26678,40877,40877,"['26678', '46039', '28732', '39691', '40877']",40877
"[3, 28]","[3, 12]","['8257', '55090', '12683', '73823', '27821']",27821,27821,55090,"['73823', '55090', '8257', '12683', '27821']",27821
"[5, 29]","[5, 22]","['51743', '55950', '52548', '21765', '48795']",48795,55950,55950,"['21765', '51743', '48795', '52548', '55950']",55950
"[3, 26]","[3, 4]","['72586', '18887', '19246', '68096', '20671']",20671,68096,68096,"['20671', '18887', '72586', '19246', '68096']",68096
"[17, 18]","[17, 21]","['66935', '6955', '21408', '46660', '69704']",69704,6955,6955,"['21408', '46660', '66935', '69704', '6955']",6955
"[0, 7]","[0, 0]","['15613', '10984', '65801', '66807', '8176']",8176,65801,65801,"['8176', '10984', '15613', '66807', '65801']",65801
"[3, 3]","[3, 5]","['30004', '22487', '10131', '994', '64']",64,10131,10131,"['64', '994', '22487', '30004', '10131']",10131
"[9, 4]","[9, 26]","['50510', '79413', '64614', '80219', '7474']",7474,7474,50510,"['79413', '64614', '50510', '80219', '7474']",7474
"[14, 9]","[14, 8]","['14102', '39708', '40550', '26678', '28732']",28732,39708,39708,"['28732', '14102', '26678', '40550', '39708']",39708
"[3, 5]","[3, 28]","['63514', '74226', '12162', '64', '42226']",42226,42226,63514,"['12162', '63514', '74226', '64', '42226']",42226
"[19, 14]","[19, 13]","['26372', '26703', '72517', '64729', '43396']",43396,26372,26372,"['43396', '72517', '64729', '26703', '26372']",26372
"[5, 19]","[5, 29]","['51211', '35619', '77183', '54232', '21765']",21765,54232,54232,"['21765', '51211', '77183', '35619', '54232']",54232
"[14, 9]","[14, 8]","['6508', '14102', '26678', '26506', '39691']",39691,26678,26678,"['6508', '26506', '14102', '39691', '26678']",26678
"[19, 10]","[19, 13]","['25618', '25168', '73023', '21540', '37914']",37914,25618,25618,"['73023', '37914', '21540', '25168', '25618']",25618
"[19, 13]","[19, 8]","['26354', '35479', '42612', '37914', '19346']",19346,42612,42612,"['35479', '26354', '37914', '19346', '42612']",42612
"[17, 21]","[17, 18]","['78147', '62454', '40487', '9795', '51240']",51240,40487,40487,"['51240', '9795', '62454', '78147', '40487']",40487
"[19, 13]","[19, 25]","['42612', '43396', '37914', '26354', '47247']",47247,43396,43396,"['26354', '47247', '42612', '37914', '43396']",43396
"[14, 7]","[14, 8]","['51393', '38835', '25607', '67483', '28694']",28694,38835,38835,"['28694', '51393', '25607', '67483', '38835']",38835
"[5, 19]","[5, 4]","['77183', '51211', '35619', '53655', '63485']",63485,51211,77183,"['53655', '77183', '63485', '35619', '51211']",51211
"[9, 3]","[9, 26]","['9662', '74662', '1268', '64671', '27788']",27788,1268,74662,"['9662', '74662', '64671', '27788', '1268']",1268
"[3, 17]","[3, 16]","['53579', '64047', '54792', '12043', '11746']",11746,54792,11746,"['64047', '11746', '53579', '12043', '54792']",54792
"[3, 3]","[3, 28]","['22487', '22002', '10131', '994', '73823']",73823,22487,22487,"['10131', '994', '22487', '73823', '22002']",22002
"[7, 20]","[7, 1]","['55305', '2425', '54372', '2277', '16951']",16951,16951,16951,"['55305', '2425', '54372', '2277', '16951']",16951
"[3, 16]","[3, 4]","['63317', '59100', '11746', '177', '9383']",9383,11746,9383,"['59100', '63317', '177', '9383', '11746']",11746
"[14, 7]","[14, 9]","['51393', '25607', '77045', '67483', '14102']",14102,25607,25607,"['51393', '67483', '77045', '14102', '25607']",25607
"[5, 4]","[5, 29]","['51114', '63485', '70560', '35725', '55950']",55950,35725,35725,"['63485', '70560', '51114', '55950', '35725']",35725
"[0, 24]","[0, 7]","['48780', '37989', '31926', '74418', '10984']",10984,37989,10984,"['48780', '10984', '74418', '31926', '37989']",37989
"[0, 0]","[0, 6]","['78009', '8176', '28082', '14834', '43036']",43036,78009,78009,"['28082', '14834', '43036', '8176', '78009']",78009
"[19, 8]","[19, 14]","['19346', '6777', '71082', '36396', '26703']",26703,26703,71082,"['71082', '36396', '6777', '19346', '26703']",26703
"[5, 4]","[5, 19]","['70560', '63485', '2004', '53032', '49189']",49189,70560,53032,"['49189', '63485', '2004', '53032', '70560']",70560
"[9, 3]","[9, 11]","['9662', '14914', '64671', '1268', '52758']",52758,1268,14914,"['9662', '52758', '14914', '64671', '1268']",1268
"[5, 22]","[5, 19]","['48795', '57572', '7217', '77349', '49189']",49189,48795,48795,"['7217', '57572', '49189', '77349', '48795']",48795
"[19, 8]","[19, 13]","['6777', '36396', '71082', '19346', '42612']",42612,42612,42612,"['6777', '36396', '19346', '71082', '42612']",42612
"[7, 3]","[7, 20]","['75828', '52457', '64781', '61767', '2277']",2277,2277,64781,"['61767', '52457', '75828', '64781', '2277']",2277
"[17, 5]","[17, 18]","['33045', '7913', '50221', '72055', '66935']",66935,7913,72055,"['66935', '72055', '50221', '33045', '7913']",7913
"[3, 12]","[3, 28]","['37955', '27821', '20968', '1181', '8257']",8257,1181,1181,"['37955', '8257', '20968', '27821', '1181']",1181
"[3, 7]","[3, 21]","['73164', '4286', '19796', '19992', '57272']",57272,4286,4286,"['57272', '19796', '73164', '19992', '4286']",4286
"[7, 22]","[7, 1]","['79411', '40679', '23132', '31113', '3536']",3536,3536,3536,"['31113', '40679', '79411', '23132', '3536']",3536
"[3, 5]","[3, 21]","['63514', '74226', '64', '12162', '14038']",14038,63514,74226,"['14038', '74226', '64', '12162', '63514']",63514
"[17, 18]","[17, 21]","['31693', '51240', '6955', '66316', '78147']",78147,31693,66316,"['51240', '6955', '78147', '66316', '31693']",31693
"[18, 25]","[18, 23]","['62071', '3282', '25711', '73827', '61353']",61353,3282,3282,"['25711', '61353', '62071', '73827', '3282']",3282
"[17, 18]","[17, 21]","['31693', '51240', '6955', '46660', '69704']",69704,69704,69704,"['6955', '51240', '31693', '46660', '69704']",69704
"[19, 8]","[19, 13]","['6777', '19346', '36396', '71082', '43396']",43396,36396,36396,"['71082', '6777', '43396', '19346', '36396']",36396
"[14, 8]","[14, 7]","['46039', '40877', '28694', '28732', '25607']",25607,46039,46039,"['28732', '25607', '28694', '40877', '46039']",46039
"[7, 22]","[7, 20]","['31113', '79411', '23132', '40679', '2277']",2277,40679,40679,"['79411', '2277', '31113', '23132', '40679']",40679
"[5, 4]","[5, 22]","['63485', '62609', '51114', '27706', '40863']",40863,63485,51114,"['40863', '62609', '27706', '51114', '63485']",63485
"[14, 8]","[14, 9]","['46039', '39691', '28694', '28732', '40550']",40550,28694,28694,"['39691', '46039', '40550', '28732', '28694']",28694
"[3, 12]","[3, 7]","['1181', '20968', '27821', '37955', '4286']",4286,37955,20968,"['4286', '20968', '1181', '27821', '37955']",37955
"[15, 17]","[15, 28]","['47834', '1225', '60915', '11908', '23274']",23274,47834,60915,"['11908', '60915', '1225', '23274', '47834']",47834
"[19, 18]","[19, 5]","['41277', '36535', '74633', '58616', '17017']",17017,74633,74633,"['17017', '36535', '41277', '58616', '74633']",74633
"[5, 19]","[5, 29]","['49189', '63077', '35619', '54232', '21765']",21765,35619,21765,"['54232', '63077', '49189', '21765', '35619']",35619
"[3, 28]","[3, 26]","['73823', '12683', '8257', '55090', '40031']",40031,55090,55090,"['8257', '12683', '73823', '40031', '55090']",55090
"[3, 5]","[3, 3]","['64', '74226', '63514', '12162', '22002']",22002,22002,22002,"['64', '63514', '74226', '12162', '22002']",22002
"[17, 18]","[17, 21]","['46660', '31693', '51240', '70105', '69704']",69704,46660,46660,"['31693', '51240', '70105', '69704', '46660']",46660
"[3, 17]","[3, 12]","['64047', '12043', '54792', '33084', '1181']",1181,54792,1181,"['64047', '1181', '12043', '33084', '54792']",54792
"[17, 18]","[17, 5]","['66935', '21408', '21543', '6955', '33045']",33045,66935,66935,"['21408', '33045', '21543', '6955', '66935']",66935
"[17, 5]","[17, 21]","['7913', '72055', '50221', '33045', '78147']",78147,50221,50221,"['78147', '7913', '72055', '33045', '50221']",50221
"[3, 4]","[3, 17]","['20671', '35787', '9383', '11039', '64047']",64047,11039,11039,"['64047', '20671', '35787', '9383', '11039']",11039
"[14, 8]","[14, 9]","['46039', '28694', '40877', '39691', '40550']",40550,39691,39691,"['46039', '28694', '40550', '40877', '39691']",39691
"[19, 13]","[19, 28]","['35479', '43396', '42612', '43324', '42272']",42272,43396,43396,"['43324', '35479', '42612', '42272', '43396']",43396
"[14, 9]","[14, 7]","['14102', '39708', '40550', '26678', '77045']",77045,39708,39708,"['26678', '40550', '77045', '14102', '39708']",39708
"[3, 7]","[3, 17]","['30859', '19992', '73164', '19796', '64047']",64047,19992,64047,"['19796', '73164', '30859', '64047', '19992']",19992
"[7, 22]","[7, 3]","['40679', '79411', '31113', '23132', '64781']",64781,79411,79411,"['64781', '40679', '23132', '31113', '79411']",79411
"[9, 26]","[9, 11]","['23716', '7474', '6759', '50181', '335']",335,23716,23716,"['335', '50181', '7474', '6759', '23716']",23716
"[14, 7]","[14, 8]","['51393', '67483', '25607', '38835', '28694']",28694,28694,25607,"['38835', '67483', '28694', '51393', '25607']",25607
"[7, 22]","[7, 1]","['79411', '31113', '23132', '40679', '12421']",12421,23132,23132,"['12421', '79411', '40679', '31113', '23132']",23132
"[3, 17]","[3, 3]","['38478', '54792', '12043', '53579', '30004']",30004,30004,30004,"['12043', '54792', '53579', '38478', '30004']",30004
"[15, 13]","[15, 28]","['68970', '34763', '25079', '42684', '67905']",67905,67905,67905,"['25079', '68970', '34763', '42684', '67905']",67905
"[7, 1]","[7, 20]","['12421', '8109', '16951', '53652', '55305']",55305,55305,55305,"['8109', '16951', '53652', '12421', '55305']",55305
"[15, 13]","[15, 21]","['24364', '20590', '53137', '68970', '3384']",3384,53137,53137,"['20590', '68970', '3384', '24364', '53137']",53137
"[14, 7]","[14, 9]","['25607', '67483', '51393', '77045', '26678']",26678,25607,25607,"['67483', '51393', '26678', '77045', '25607']",25607
"[17, 21]","[17, 18]","['69704', '40487', '62549', '62454', '6955']",6955,40487,6955,"['62454', '6955', '62549', '69704', '40487']",40487
