base_cluster,other_cluster,group,outlier_id,gemma_description_pick,llama_description_pick,options,last_option
"[3, 7]","[7, 3]","['19796', '37907', '73164', '19992', '75828']",75828,19992,19992,"['37907', '73164', '75828', '19796', '19992']",19992
"[9, 4]","[7, 1]","['64614', '79413', '80219', '50510', '12376']",12376,50510,50510,"['79413', '80219', '64614', '12376', '50510']",50510
"[5, 29]","[17, 18]","['52548', '18711', '51743', '57316', '66316']",66316,57316,51743,"['66316', '51743', '52548', '18711', '57316']",57316
"[5, 19]","[19, 13]","['77183', '54232', '63077', '51211', '43324']",43324,54232,43324,"['77183', '63077', '51211', '43324', '54232']",54232
"[0, 2]","[9, 11]","['9639', '62759', '28242', '63508', '61914']",61914,61914,61914,"['28242', '9639', '63508', '62759', '61914']",61914
"[9, 4]","[19, 13]","['79413', '64614', '50510', '80219', '43324']",43324,43324,43324,"['80219', '50510', '79413', '64614', '43324']",43324
"[5, 29]","[3, 28]","['21765', '52548', '51743', '57316', '12683']",12683,12683,12683,"['21765', '57316', '51743', '52548', '12683']",12683
"[19, 13]","[5, 29]","['26354', '37914', '35479', '43396', '18711']",18711,18711,18711,"['43396', '26354', '37914', '35479', '18711']",18711
"[7, 1]","[3, 26]","['12376', '16951', '8109', '53652', '72586']",72586,8109,8109,"['12376', '72586', '16951', '53652', '8109']",8109
"[19, 28]","[0, 14]","['23197', '40111', '43363', '42272', '39894']",39894,39894,39894,"['23197', '40111', '42272', '43363', '39894']",39894
"[19, 18]","[14, 9]","['55086', '30721', '35149', '49556', '40550']",40550,40550,40550,"['35149', '30721', '49556', '55086', '40550']",40550
"[19, 14]","[14, 7]","['64729', '26703', '72517', '26372', '51393']",51393,26372,26372,"['64729', '26703', '72517', '51393', '26372']",26372
"[0, 24]","[3, 28]","['48780', '31926', '37989', '74418', '55090']",55090,37989,37989,"['74418', '55090', '48780', '31926', '37989']",37989
"[15, 28]","[14, 9]","['67905', '10526', '3258', '38548', '26506']",26506,26506,3,"['67905', '10526', '26506', '3258', '38548']",38548
"[3, 16]","[17, 5]","['11746', '177', '56017', '59100', '33045']",33045,33045,33045,"['56017', '177', '59100', '11746', '33045']",33045
"[14, 8]","[3, 28]","['46039', '28694', '40877', '28732', '42226']",42226,28694,28694,"['42226', '46039', '40877', '28732', '28694']",28694
"[19, 10]","[0, 6]","['55791', '25618', '25168', '21540', '59474']",59474,59474,59474,"['25168', '25618', '55791', '21540', '59474']",59474
"[3, 7]","[19, 28]","['37907', '73164', '4286', '19992', '40111']",40111,4286,4286,"['19992', '73164', '37907', '40111', '4286']",4286
"[3, 21]","[5, 4]","['14038', '47060', '42206', '57272', '27706']",27706,57272,14038,"['42206', '27706', '47060', '14038', '57272']",57272
"[9, 3]","[15, 28]","['14914', '64671', '74662', '9662', '3258']",3258,64671,64671,"['14914', '74662', '9662', '3258', '64671']",64671
"[7, 22]","[3, 16]","['23132', '79411', '40679', '31113', '56017']",56017,56017,79411,"['23132', '79411', '40679', '31113', '56017']",56017
"[19, 14]","[17, 18]","['26372', '72517', '64729', '26703', '21543']",21543,64729,72517,"['21543', '72517', '26703', '26372', '64729']",64729
"[5, 4]","[9, 11]","['63485', '70560', '2004', '35725', '30907']",30907,35725,2004,"['70560', '2004', '30907', '63485', '35725']",35725
"[18, 23]","[19, 5]","['59794', '20502', '64148', '14167', '32569']",32569,32569,32569,"['59794', '64148', '14167', '20502', '32569']",32569
"[19, 28]","[0, 24]","['52721', '40111', '42272', '43363', '37989']",37989,40111,40111,"['43363', '42272', '52721', '37989', '40111']",40111
"[0, 14]","[3, 26]","['80522', '39894', '37963', '17291', '34449']",34449,34449,34449,"['39894', '37963', '17291', '80522', '34449']",34449
"[19, 10]","[3, 16]","['25168', '55791', '73023', '21540', '56017']",56017,21540,21540,"['56017', '25168', '73023', '55791', '21540']",21540
"[18, 25]","[9, 4]","['62071', '25711', '73827', '4132', '80219']",80219,73827,4132,"['80219', '4132', '62071', '25711', '73827']",73827
"[3, 21]","[0, 14]","['57272', '47060', '42206', '14038', '17291']",17291,47060,14038,"['17291', '42206', '14038', '57272', '47060']",47060
"[19, 18]","[17, 21]","['35149', '58616', '36535', '74633', '40487']",40487,74633,74633,"['58616', '36535', '40487', '35149', '74633']",74633
"[9, 11]","[15, 28]","['335', '15606', '4186', '78534', '10526']",10526,4186,335,"['10526', '335', '78534', '15606', '4186']",4186
"[0, 6]","[19, 25]","['43036', '43375', '25447', '59474', '33749']",33749,43036,43036,"['59474', '25447', '43375', '33749', '43036']",43036
"[9, 3]","[0, 0]","['9662', '1268', '14914', '64671', '28082']",28082,14914,14914,"['1268', '28082', '9662', '64671', '14914']",14914
"[0, 24]","[3, 28]","['48780', '31926', '37989', '74418', '8257']",8257,48780,48780,"['31926', '74418', '37989', '8257', '48780']",48780
"[14, 8]","[0, 6]","['28694', '28732', '40877', '46039', '75880']",75880,28732,46039,"['75880', '28694', '40877', '46039', '28732']",28732
"[3, 7]","[19, 13]","['30859', '4286', '37907', '73164', '43324']",43324,37907,37907,"['43324', '4286', '73164', '30859', '37907']",37907
"[5, 29]","[17, 21]","['21765', '55950', '57316', '52548', '62454']",62454,52548,52548,"['21765', '62454', '57316', '55950', '52548']",52548
"[0, 2]","[19, 28]","['9836', '51831', '54867', '59390', '23197']",23197,51831,51831,"['9836', '54867', '59390', '23197', '51831']",51831
"[19, 14]","[17, 21]","['72517', '64729', '26372', '26703', '9795']",9795,9795,9795,"['72517', '64729', '26372', '26703', '9795']",9795
"[19, 5]","[17, 5]","['32569', '63902', '55314', '59952', '7913']",7913,63902,55314,"['32569', '59952', '7913', '55314', '63902']",63902
"[7, 3]","[3, 17]","['61767', '64781', '75828', '52457', '33084']",33084,52457,52457,"['33084', '61767', '75828', '64781', '52457']",52457
"[15, 21]","[0, 7]","['20839', '13497', '7489', '3384', '10984']",10984,3384,3384,"['20839', '13497', '10984', '7489', '3384']",3384
"[0, 6]","[15, 17]","['41154', '49395', '43036', '25447', '1225']",1225,1225,1225,"['25447', '49395', '43036', '41154', '1225']",1225
"[0, 7]","[15, 28]","['72266', '66807', '10984', '65801', '10526']",10526,72266,72266,"['65801', '66807', '10984', '10526', '72266']",72266
"[7, 3]","[0, 0]","['61767', '64781', '52457', '75828', '28082']",28082,61767,28082,"['75828', '52457', '64781', '28082', '61767']",61767
"[4, 27]","[0, 7]","['5222', '77515', '12888', '70239', '10984']",10984,10984,5222,"['77515', '12888', '5222', '70239', '10984']",10984
"[14, 9]","[19, 8]","['14102', '26506', '26678', '6508', '36396']",36396,26506,26506,"['26678', '14102', '36396', '6508', '26506']",26506
"[7, 22]","[4, 27]","['23132', '31113', '40679', '79411', '70239']",70239,70239,79411,"['23132', '40679', '31113', '79411', '70239']",70239
"[7, 22]","[3, 17]","['31113', '23132', '40679', '79411', '54792']",54792,31113,31113,"['54792', '40679', '23132', '79411', '31113']",31113
"[7, 3]","[0, 7]","['52457', '61767', '64781', '75828', '66807']",66807,64781,52457,"['66807', '52457', '61767', '75828', '64781']",64781
"[9, 3]","[19, 28]","['9662', '14914', '1268', '74662', '23197']",23197,74662,23197,"['14914', '1268', '9662', '23197', '74662']",74662
"[3, 3]","[19, 14]","['22487', '994', '10017', '72700', '26703']",26703,994,994,"['10017', '22487', '72700', '26703', '994']",994
"[0, 2]","[7, 3]","['9836', '63508', '45218', '48095', '75828']",75828,48095,48095,"['63508', '75828', '45218', '9836', '48095']",48095
"[15, 21]","[19, 5]","['20839', '13497', '3384', '7489', '76431']",76431,3384,3384,"['13497', '20839', '76431', '7489', '3384']",3384
"[0, 24]","[15, 17]","['37989', '48780', '31926', '74418', '1225']",1225,74418,1225,"['31926', '37989', '48780', '1225', '74418']",74418
"[19, 10]","[3, 16]","['21540', '55791', '25168', '25618', '63317']",63317,63317,63317,"['25618', '25168', '21540', '55791', '63317']",63317
"[5, 29]","[7, 1]","['21765', '51743', '57316', '55950', '16951']",16951,55950,21765,"['16951', '57316', '51743', '21765', '55950']",55950
"[15, 17]","[5, 22]","['1225', '11908', '60915', '47834', '7217']",7217,1225,1225,"['47834', '11908', '60915', '7217', '1225']",1225
"[19, 14]","[14, 8]","['26372', '72517', '64729', '26703', '46039']",46039,26703,46039,"['64729', '72517', '46039', '26372', '26703']",26703
"[0, 6]","[19, 10]","['41154', '43375', '25447', '59474', '25618']",25618,59474,59474,"['43375', '41154', '25618', '25447', '59474']",59474
"[3, 26]","[19, 18]","['19246', '18887', '50906', '34449', '49556']",49556,18887,18887,"['49556', '34449', '19246', '50906', '18887']",18887
"[0, 6]","[9, 26]","['75880', '59474', '25447', '49395', '50181']",50181,59474,50181,"['75880', '50181', '25447', '49395', '59474']",59474
"[0, 6]","[19, 14]","['41154', '59474', '43375', '49395', '26703']",26703,26703,26703,"['41154', '43375', '59474', '49395', '26703']",26703
"[3, 26]","[19, 5]","['72586', '32729', '18887', '40031', '63902']",63902,18887,18887,"['72586', '40031', '32729', '63902', '18887']",18887
"[9, 3]","[0, 2]","['74662', '64671', '9662', '1268', '80744']",80744,9662,80744,"['74662', '80744', '1268', '64671', '9662']",9662
"[14, 8]","[3, 3]","['28694', '40877', '28732', '46039', '10017']",10017,10017,10017,"['40877', '46039', '28732', '28694', '10017']",10017
"[17, 5]","[3, 5]","['7913', '50221', '72055', '33045', '63514']",63514,33045,33045,"['63514', '7913', '72055', '50221', '33045']",33045
"[4, 27]","[14, 7]","['5222', '70239', '77515', '12888', '77045']",77045,5222,5222,"['77045', '77515', '70239', '5222', '12888']",12888
"[19, 14]","[3, 7]","['26372', '26703', '64729', '72517', '37907']",37907,64729,72517,"['26372', '72517', '37907', '26703', '64729']",64729
"[3, 4]","[19, 10]","['9383', '20671', '11039', '35787', '73023']",73023,9383,9383,"['11039', '20671', '35787', '73023', '9383']",9383
"[3, 12]","[18, 23]","['27821', '1181', '20968', '37955', '37360']",37360,27821,27821,"['37955', '37360', '1181', '20968', '27821']",27821
"[19, 25]","[9, 26]","['59747', '74532', '26994', '47247', '7474']",7474,26994,26994,"['74532', '47247', '59747', '7474', '26994']",26994
"[5, 29]","[14, 9]","['51743', '57316', '52548', '18711', '26678']",26678,57316,26678,"['18711', '52548', '26678', '51743', '57316']",57316
"[9, 4]","[15, 28]","['80219', '50510', '79413', '64614', '67905']",67905,50510,50510,"['79413', '64614', '67905', '80219', '50510']",50510
"[3, 5]","[9, 26]","['64', '74226', '63514', '12162', '23716']",23716,74226,74226,"['64', '12162', '63514', '23716', '74226']",74226
"[15, 17]","[19, 28]","['60915', '11908', '47834', '1225', '42272']",42272,47834,1225,"['60915', '1225', '11908', '42272', '47834']",47834
"[3, 12]","[19, 18]","['1181', '27821', '20968', '37955', '58616']",58616,1181,1181,"['37955', '20968', '27821', '58616', '1181']",1181
"[19, 13]","[3, 17]","['37914', '43396', '35479', '42612', '53579']",53579,35479,35479,"['43396', '42612', '53579', '37914', '35479']",35479
