filename,cluster,shape_category
76836.png,6,9
31258.png,1,22
28893.png,8,25
21485.png,19,7
35120.png,14,5
10688.png,1,22
24513.png,2,17
31840.png,2,13
49754.png,8,21
77131.png,2,5
47740.png,8,8
72677.png,13,27
179.png,8,8
46853.png,4,5
42785.png,8,29
33644.png,8,28
28022.png,8,16
20046.png,8,14
42100.png,8,27
80687.png,8,9
35530.png,0,12
28288.png,8,8
14785.png,8,5
75595.png,11,18
60681.png,13,7
68473.png,0,15
23431.png,5,10
77708.png,5,28
11804.png,0,29
74200.png,8,20
35251.png,2,17
59057.png,18,16
28400.png,18,18
17739.png,2,17
57886.png,8,12
79876.png,8,6
75987.png,0,15
41798.png,19,7
32994.png,8,8
39542.png,2,13
57430.png,8,24
33755.png,2,18
27351.png,8,6
78580.png,8,11
3769.png,10,5
31577.png,1,22
75371.png,8,0
60868.png,8,7
9142.png,2,25
24248.png,8,17
68681.png,8,18
61388.png,16,11
33456.png,1,28
30360.png,17,21
36329.png,8,15
50648.png,8,14
68034.png,0,7
25737.png,8,4
43224.png,1,22
66827.png,8,27
56654.png,8,18
76584.png,8,9
78055.png,2,17
14231.png,3,6
62691.png,8,28
12062.png,8,19
73360.png,8,23
13116.png,8,28
64283.png,19,27
9601.png,8,10
29889.png,1,20
28273.png,2,17
5247.png,8,29
18922.png,3,3
23634.png,8,25
64362.png,8,13
53410.png,19,25
40326.png,8,1
33257.png,2,13
62962.png,8,16
76410.png,18,23
64347.png,8,4
62912.png,14,4
13241.png,8,26
7557.png,11,8
14904.png,1,20
25095.png,18,0
44028.png,8,21
66597.png,1,20
40314.png,8,12
28379.png,8,15
44184.png,8,1
78300.png,1,28
31828.png,1,27
28326.png,8,9
16295.png,18,23
26285.png,2,13
145.png,8,3
65506.png,8,16
74775.png,0,19
15984.png,2,5
31293.png,17,17
64876.png,18,23
60823.png,11,2
27916.png,8,17
75273.png,19,18
37066.png,2,18
7315.png,19,14
6623.png,19,13
31167.png,0,14
69996.png,0,15
63232.png,8,5
3515.png,6,21
27988.png,2,25
3315.png,9,9
22237.png,19,12
36398.png,1,5
64149.png,0,15
41450.png,8,22
51633.png,6,1
32338.png,8,11
37323.png,8,7
52989.png,8,0
718.png,8,1
66493.png,8,7
70487.png,3,19
59423.png,8,25
33548.png,8,13
76939.png,3,8
25324.png,2,27
44768.png,8,20
59064.png,0,10
75370.png,2,18
69616.png,19,18
4540.png,5,19
70003.png,8,19
4175.png,8,19
3465.png,15,17
1962.png,8,27
64017.png,0,9
7746.png,8,26
35865.png,19,28
28354.png,8,2
36855.png,13,23
51864.png,8,15
21579.png,9,1
20577.png,6,21
37568.png,2,17
44972.png,19,20
31694.png,8,27
49578.png,8,10
36052.png,2,25
26361.png,7,22
39484.png,15,29
77545.png,8,14
42876.png,8,13
4047.png,15,2
38022.png,17,26
39811.png,2,5
32388.png,8,0
6464.png,15,27
15872.png,8,17
30751.png,1,20
27423.png,0,2
63692.png,8,5
71149.png,5,22
72440.png,2,2
25957.png,1,20
59162.png,8,5
19544.png,2,18
59897.png,19,8
33452.png,0,25
59309.png,19,28
8731.png,8,9
61243.png,8,8
41073.png,5,13
79668.png,18,11
29234.png,8,18
19876.png,8,27
69859.png,18,13
42967.png,8,14
56070.png,8,25
61481.png,1,22
79523.png,1,22
63244.png,8,16
48819.png,2,17
22704.png,8,2
7615.png,1,20
45753.png,0,19
64780.png,14,20
48832.png,8,27
2126.png,3,18
30211.png,2,5
37567.png,8,22
71220.png,0,15
15440.png,8,1
26627.png,18,23
54479.png,15,28
72149.png,8,16
10305.png,13,22
43879.png,4,4
67714.png,3,26
44882.png,18,23
10639.png,19,18
51487.png,9,10
30557.png,8,6
80501.png,8,7
26844.png,2,18
30588.png,8,9
67070.png,4,24
64372.png,8,25
79345.png,8,13
79786.png,8,9
36221.png,2,13
78800.png,18,0
54549.png,3,17
13218.png,3,25
3679.png,1,22
41188.png,16,9
50791.png,11,8
5767.png,15,24
65489.png,2,17
62808.png,7,22
33069.png,7,12
10846.png,8,2
4884.png,8,6
24680.png,8,0
47268.png,6,26
62485.png,18,23
12697.png,8,15
15487.png,19,14
55499.png,19,24
12709.png,8,8
79162.png,8,27
39038.png,11,5
75405.png,9,4
35907.png,8,24
12427.png,16,11
47407.png,13,5
42951.png,5,11
31439.png,12,5
54314.png,11,26
30509.png,5,12
60674.png,19,19
47789.png,8,25
57375.png,8,25
17187.png,19,13
49518.png,8,1
78098.png,8,3
17193.png,8,10
54517.png,1,0
58425.png,8,25
51830.png,8,27
28077.png,8,8
16103.png,8,15
61142.png,8,0
59085.png,8,26
10007.png,8,8
47636.png,8,21
46141.png,8,2
15583.png,19,14
51270.png,8,2
24948.png,8,9
52377.png,1,20
76828.png,0,19
74764.png,8,11
13622.png,7,3
29427.png,18,7
6825.png,8,10
39033.png,19,29
19016.png,2,13
48882.png,8,21
48870.png,3,17
65220.png,4,14
61434.png,18,7
28732.png,14,8
22845.png,8,27
24376.png,8,12
12584.png,3,9
74544.png,8,1
24925.png,8,4
12206.png,2,5
22198.png,8,9
37549.png,12,22
1062.png,14,0
70203.png,6,26
21535.png,9,26
52237.png,8,16
5072.png,8,1
26778.png,8,8
48049.png,8,21
52951.png,7,0
37601.png,8,22
37891.png,17,18
64650.png,15,28
76598.png,13,5
62097.png,8,23
20648.png,19,24
56801.png,8,10
14955.png,13,23
22734.png,15,1
32991.png,9,18
1187.png,1,22
12369.png,3,0
28244.png,8,21
15043.png,1,28
38511.png,8,21
65322.png,8,24
11704.png,19,15
40514.png,8,15
63275.png,8,12
38984.png,3,20
30341.png,8,26
35927.png,13,15
52712.png,11,21
31217.png,8,15
9969.png,19,25
40442.png,0,6
60548.png,7,1
66061.png,2,29
3559.png,2,18
63044.png,1,5
58466.png,0,7
524.png,19,13
71597.png,19,20
8890.png,13,13
67082.png,8,19
10906.png,8,25
72252.png,8,16
53065.png,17,17
30916.png,8,28
21447.png,3,28
53331.png,2,25
74943.png,8,5
32456.png,8,25
19620.png,2,23
78130.png,17,18
30629.png,8,29
24152.png,8,21
17466.png,1,14
4410.png,8,9
80370.png,8,16
39017.png,18,10
51072.png,2,18
43018.png,19,20
10483.png,2,18
80592.png,1,16
61407.png,1,20
22160.png,7,5
3794.png,8,1
75958.png,19,13
44682.png,8,6
69193.png,8,16
77803.png,5,4
52108.png,8,8
954.png,1,5
67130.png,0,2
57229.png,2,17
50817.png,15,27
20947.png,8,21
40949.png,8,11
57302.png,1,19
76082.png,8,15
71783.png,8,23
42219.png,5,1
37962.png,3,5
12186.png,8,4
65922.png,10,2
48400.png,18,0
43985.png,8,18
79645.png,18,23
42916.png,18,10
55523.png,1,20
54934.png,8,1
44826.png,18,10
35740.png,8,21
68062.png,8,19
10790.png,8,8
35876.png,8,26
68317.png,13,24
44784.png,8,28
29502.png,8,13
75468.png,8,26
14045.png,3,3
2317.png,8,25
76642.png,8,22
9428.png,8,3
6630.png,17,27
76832.png,8,25
41892.png,8,16
60091.png,16,9
37405.png,8,11
74270.png,3,19
8711.png,15,16
13462.png,19,17
66615.png,8,5
18140.png,8,10
60337.png,8,10
1722.png,3,22
63525.png,8,4
6097.png,1,28
3227.png,19,13
26756.png,6,26
78282.png,13,21
20475.png,1,28
57259.png,2,17
65550.png,2,27
78215.png,8,7
49256.png,19,7
53012.png,8,17
5201.png,8,25
33925.png,8,27
72155.png,8,18
47300.png,8,4
20913.png,8,0
933.png,8,7
38253.png,8,3
35050.png,8,16
77245.png,8,21
33783.png,2,17
22912.png,8,17
61226.png,8,9
40974.png,8,24
15905.png,18,23
17622.png,17,7
14527.png,8,6
68588.png,3,29
52490.png,17,18
41040.png,13,19
80092.png,17,21
75266.png,9,11
6964.png,8,2
80683.png,8,27
44528.png,10,5
73714.png,8,28
55003.png,15,3
41358.png,8,6
7017.png,8,19
80260.png,8,5
52741.png,19,28
29438.png,8,5
29394.png,8,2
26421.png,5,11
72306.png,12,4
45935.png,18,16
46666.png,3,7
59399.png,8,6
10168.png,8,2
67970.png,8,11
13930.png,19,13
1077.png,0,12
55744.png,2,13
76595.png,0,5
28518.png,18,23
18778.png,8,16
19274.png,2,18
72343.png,9,11
27204.png,8,25
2224.png,5,11
43273.png,18,28
58453.png,8,13
15733.png,8,23
73988.png,3,7
62745.png,8,21
49445.png,8,2
21358.png,4,4
3781.png,1,5
46314.png,19,9
56312.png,8,21
70049.png,8,17
21254.png,8,19
67055.png,1,27
21186.png,8,16
18491.png,8,17
7033.png,0,8
75141.png,8,11
63478.png,2,17
9694.png,1,20
58647.png,19,27
25137.png,8,26
23365.png,8,20
71908.png,0,8
78290.png,12,0
41468.png,9,11
13993.png,2,20
43876.png,3,5
62098.png,8,13
53694.png,1,28
63882.png,8,11
16558.png,2,17
59664.png,1,22
1189.png,6,21
39497.png,2,17
21756.png,19,8
42001.png,15,13
43970.png,8,8
65210.png,8,17
23896.png,8,8
6133.png,8,15
37824.png,1,22
55784.png,8,26
75749.png,12,8
15828.png,8,8
78615.png,8,9
47607.png,8,25
73079.png,8,21
73992.png,8,7
67738.png,0,14
20457.png,11,8
51925.png,0,2
14914.png,9,3
40046.png,8,27
42893.png,19,23
33191.png,8,17
51271.png,8,0
38380.png,15,6
62300.png,6,1
30200.png,8,20
48303.png,8,16
26639.png,4,23
71812.png,8,15
34424.png,19,15
59203.png,18,23
35419.png,6,19
29054.png,8,4
34431.png,8,24
8662.png,2,17
58880.png,1,5
64541.png,8,5
70879.png,3,16
2217.png,2,18
56578.png,2,18
861.png,0,12
16142.png,8,12
41030.png,1,22
36709.png,8,15
8659.png,19,25
149.png,2,13
48568.png,8,23
39080.png,8,10
26730.png,8,16
78999.png,2,6
24529.png,8,10
42878.png,1,19
71338.png,8,19
34410.png,8,26
69241.png,19,7
68574.png,8,16
33137.png,19,20
30798.png,5,19
4900.png,10,0
54288.png,1,22
29039.png,5,19
12770.png,8,6
75210.png,8,3
15282.png,8,20
40494.png,1,22
53452.png,8,13
63260.png,2,27
32600.png,0,2
55843.png,2,17
69055.png,8,8
71071.png,9,27
33059.png,8,2
77574.png,1,5
16604.png,8,23
52111.png,2,17
38513.png,15,20
68198.png,8,21
59410.png,8,21
40525.png,8,6
3707.png,5,17
53761.png,15,20
66694.png,2,17
55097.png,8,5
7599.png,1,22
31112.png,2,17
37438.png,2,16
11586.png,2,18
4063.png,8,29
5891.png,2,10
27022.png,3,16
43195.png,2,5
16049.png,8,10
66371.png,0,15
73353.png,19,25
5646.png,15,1
80174.png,8,12
15698.png,5,12
13399.png,19,8
15874.png,0,7
23190.png,18,23
75103.png,8,29
7863.png,11,9
33865.png,8,26
44800.png,17,7
7680.png,1,22
34041.png,8,9
49838.png,8,5
41078.png,8,18
56354.png,8,2
65215.png,8,7
51693.png,1,24
65484.png,18,0
67614.png,3,16
29033.png,2,25
38343.png,15,6
12254.png,15,18
5407.png,8,3
21490.png,8,8
38377.png,15,25
27410.png,18,23
2249.png,8,3
37872.png,8,6
9816.png,3,3
77563.png,4,5
30085.png,4,29
25043.png,15,2
15801.png,8,2
35726.png,8,5
79044.png,8,17
25088.png,2,17
503.png,8,13
52576.png,8,5
75741.png,18,23
28751.png,19,18
20311.png,1,7
15368.png,8,14
60051.png,5,5
44929.png,8,22
40447.png,8,0
42115.png,8,10
7118.png,8,29
18157.png,8,5
2371.png,8,0
29255.png,19,13
57509.png,8,0
48696.png,17,29
36785.png,8,23
45850.png,8,7
3002.png,2,17
67398.png,5,11
80604.png,19,8
71662.png,8,26
18008.png,8,21
12592.png,7,22
37224.png,8,23
49521.png,8,23
13370.png,13,6
8048.png,8,16
31703.png,11,26
40614.png,8,28
17056.png,8,5
71914.png,8,0
37732.png,18,23
24120.png,8,23
9010.png,8,3
35143.png,8,17
19564.png,8,2
70135.png,8,13
1334.png,0,2
1735.png,19,25
39411.png,8,19
29331.png,8,9
32564.png,8,3
61894.png,8,23
10421.png,6,21
24992.png,8,18
79691.png,8,9
10912.png,2,6
6110.png,8,9
1050.png,1,20
18891.png,8,10
54779.png,19,2
51769.png,8,29
27893.png,13,7
80569.png,16,11
22004.png,8,5
22863.png,8,3
66110.png,1,12
41914.png,19,28
52355.png,8,18
41809.png,2,20
33754.png,8,19
79529.png,9,19
27172.png,19,19
29302.png,18,6
56068.png,8,21
20769.png,3,27
52832.png,8,21
56963.png,2,5
9604.png,8,25
53614.png,17,21
77562.png,1,20
41674.png,8,5
19514.png,0,2
77352.png,2,18
14157.png,8,12
63107.png,13,25
10908.png,3,3
80668.png,1,22
76735.png,2,18
34650.png,5,24
77520.png,0,0
74015.png,6,3
68095.png,8,21
50752.png,1,20
67548.png,8,15
11616.png,3,4
49130.png,8,7
47192.png,8,7
32455.png,8,26
39113.png,19,24
35025.png,19,5
79066.png,1,22
41360.png,2,7
58871.png,8,4
66628.png,2,18
12498.png,8,10
52300.png,8,27
9982.png,11,22
54783.png,8,21
62770.png,8,29
48360.png,1,28
33984.png,7,22
30079.png,1,0
68904.png,8,21
8527.png,19,27
56335.png,8,12
51528.png,15,11
57014.png,2,23
2414.png,0,19
74659.png,8,16
4636.png,8,1
34073.png,8,22
51207.png,15,1
54674.png,8,24
19503.png,18,25
52065.png,9,26
7927.png,17,5
21815.png,8,24
10686.png,19,28
56307.png,8,7
25275.png,8,20
5739.png,8,8
71393.png,1,15
62217.png,2,25
51109.png,0,6
40081.png,17,7
71777.png,19,18
17346.png,3,1
39801.png,6,21
78844.png,8,26
2181.png,8,29
61947.png,14,8
4216.png,8,14
36003.png,2,13
3265.png,1,24
6092.png,8,2
32293.png,8,22
53763.png,2,18
2719.png,8,5
77006.png,13,27
78450.png,8,25
58001.png,0,2
33176.png,8,10
34525.png,9,4
42091.png,8,27
64920.png,8,7
60152.png,9,4
27127.png,9,26
39994.png,8,2
72626.png,16,13
23163.png,8,18
9356.png,8,8
15083.png,0,27
27704.png,5,23
60217.png,2,7
54061.png,8,22
34220.png,2,17
43292.png,8,12
22496.png,8,9
41595.png,8,8
47572.png,15,21
38529.png,5,25
3713.png,8,12
45373.png,0,0
18797.png,1,22
52661.png,2,13
76218.png,8,12
63945.png,8,5
62592.png,17,17
19638.png,14,8
32238.png,7,5
7590.png,8,2
43074.png,8,7
55657.png,8,9
8706.png,15,10
25283.png,3,3
48018.png,15,17
27826.png,8,15
44785.png,19,19
5122.png,5,4
18407.png,8,27
16535.png,11,25
30260.png,6,21
12191.png,8,17
18750.png,1,14
76860.png,10,7
59186.png,8,25
22959.png,11,10
77935.png,8,14
35239.png,8,7
63612.png,8,29
31216.png,8,19
68952.png,18,23
30279.png,8,13
49099.png,8,27
24245.png,8,23
32401.png,16,12
18159.png,8,16
55537.png,9,3
15068.png,5,25
52051.png,15,15
20302.png,8,12
61889.png,1,20
26107.png,1,20
53205.png,8,22
69924.png,5,18
66776.png,4,27
31886.png,8,16
73053.png,8,16
69781.png,6,12
18279.png,8,6
54931.png,15,17
26359.png,6,1
80427.png,1,22
35897.png,8,4
33413.png,8,12
20690.png,3,7
12365.png,10,7
56567.png,15,22
34608.png,7,12
57947.png,8,25
13609.png,8,11
76680.png,6,3
30080.png,2,13
79333.png,0,14
27597.png,8,12
34992.png,8,16
77853.png,1,20
75341.png,8,15
19644.png,18,23
35186.png,5,27
5588.png,7,15
62877.png,2,25
54056.png,15,16
32566.png,3,26
34421.png,3,6
30714.png,8,26
59444.png,1,4
62857.png,8,21
16572.png,0,2
79898.png,8,23
31175.png,2,13
774.png,8,2
42933.png,5,24
19954.png,8,7
34934.png,1,7
12570.png,8,12
49197.png,8,13
25142.png,18,10
14850.png,2,10
75331.png,14,11
10476.png,8,5
71712.png,8,27
15919.png,8,21
31107.png,6,21
24732.png,8,17
5115.png,2,17
49539.png,3,22
79850.png,8,24
62437.png,8,5
28816.png,8,21
65068.png,8,8
50186.png,8,14
40166.png,12,9
24190.png,3,17
25422.png,3,26
9787.png,15,22
26651.png,0,16
24439.png,8,19
75118.png,1,7
15299.png,8,16
1783.png,0,3
43607.png,18,23
59167.png,19,28
46263.png,8,19
64827.png,2,17
5501.png,11,29
48145.png,8,25
17803.png,8,17
52127.png,8,14
52472.png,8,17
60323.png,19,27
25087.png,8,13
16800.png,15,14
10415.png,0,16
37916.png,1,5
58811.png,5,7
41309.png,3,1
38904.png,8,5
3478.png,9,27
43570.png,11,4
73643.png,18,14
43030.png,16,9
17243.png,8,10
5709.png,6,1
27643.png,19,5
2969.png,8,21
23380.png,17,12
8061.png,19,24
59832.png,1,22
46177.png,8,15
14464.png,2,0
14815.png,10,6
19563.png,8,2
1299.png,17,26
50718.png,15,20
6849.png,2,18
63403.png,8,16
6528.png,8,29
15148.png,5,13
44179.png,8,8
42082.png,5,28
44666.png,1,22
50964.png,15,22
46484.png,8,1
63272.png,1,6
54281.png,8,28
80181.png,3,3
24983.png,2,14
2341.png,8,8
39232.png,2,18
50530.png,8,2
74047.png,0,19
833.png,8,29
77153.png,8,15
35182.png,7,1
6411.png,19,20
66676.png,17,6
49526.png,15,27
70017.png,6,21
44951.png,15,6
506.png,18,6
24422.png,3,11
16826.png,8,27
29322.png,10,27
17433.png,8,23
22382.png,19,20
23320.png,3,17
37895.png,9,17
29898.png,7,10
29834.png,12,18
11438.png,16,12
21338.png,3,6
23513.png,6,21
30441.png,8,13
19273.png,3,1
65866.png,13,4
23595.png,8,9
52173.png,0,2
16640.png,6,1
24941.png,8,13
16882.png,19,21
75917.png,8,28
51411.png,1,22
30188.png,12,22
36936.png,4,1
71411.png,2,5
76638.png,1,20
28229.png,8,14
12330.png,2,14
79716.png,2,17
71479.png,2,16
49139.png,8,10
30460.png,2,29
34077.png,8,25
24417.png,8,0
26796.png,0,2
64414.png,8,1
44073.png,0,18
7188.png,8,8
80553.png,2,27
78849.png,1,5
14710.png,19,8
41598.png,8,8
39050.png,18,23
45218.png,0,2
18547.png,8,29
76547.png,16,1
37002.png,5,0
7203.png,3,23
34636.png,6,8
64163.png,13,7
68160.png,18,16
74461.png,8,15
45165.png,9,19
59175.png,4,27
63728.png,19,19
7334.png,8,10
37299.png,18,23
62376.png,19,8
30388.png,8,11
57687.png,2,6
53548.png,0,19
69700.png,8,19
71165.png,7,5
31754.png,8,11
12917.png,10,26
55763.png,8,29
32844.png,2,17
55148.png,2,5
32716.png,11,16
53645.png,8,3
42610.png,1,20
66696.png,19,20
67949.png,8,12
73140.png,8,9
50065.png,2,18
8247.png,17,21
38434.png,3,17
63237.png,8,4
28725.png,8,8
20154.png,8,12
8210.png,8,19
40257.png,8,5
24915.png,2,18
15146.png,2,14
1594.png,8,23
15823.png,2,25
12142.png,19,7
66070.png,19,25
23443.png,1,5
63139.png,8,28
15163.png,8,26
24938.png,2,0
66664.png,11,26
58375.png,8,3
20855.png,3,3
47517.png,1,28
52405.png,0,3
35736.png,8,17
34784.png,3,26
63999.png,18,23
68477.png,8,27
63750.png,8,11
62950.png,13,0
55557.png,7,20
23366.png,19,18
21247.png,8,14
40109.png,8,12
26720.png,8,8
52398.png,8,4
14801.png,19,19
18829.png,8,9
3505.png,2,10
27554.png,2,18
36901.png,1,7
21927.png,15,26
64981.png,10,16
43798.png,1,0
34936.png,8,18
44940.png,2,23
22332.png,8,25
18931.png,8,23
72886.png,2,5
43098.png,11,4
80483.png,8,1
54797.png,8,0
16011.png,1,25
41851.png,5,11
50031.png,9,26
29334.png,8,0
64727.png,8,5
78471.png,8,7
36547.png,19,8
33949.png,8,16
63390.png,3,6
26884.png,0,6
4281.png,19,14
79703.png,5,25
17954.png,15,17
14285.png,2,27
6852.png,2,25
26447.png,8,16
21255.png,8,1
11823.png,1,22
36634.png,17,4
37090.png,8,28
78458.png,2,6
37221.png,2,17
5634.png,13,24
69285.png,14,3
20424.png,6,21
50233.png,2,17
62497.png,1,22
42376.png,8,26
55562.png,8,16
19765.png,3,27
53723.png,8,4
10613.png,7,22
74473.png,8,27
41905.png,8,22
63245.png,8,12
12004.png,19,14
26845.png,8,10
73440.png,8,3
15159.png,8,16
50086.png,15,25
62874.png,8,5
48076.png,2,17
28654.png,0,27
79902.png,9,4
49322.png,7,3
67382.png,1,27
23773.png,8,18
23899.png,15,27
49246.png,19,9
60219.png,8,12
14601.png,1,20
44192.png,8,5
9147.png,3,26
35861.png,8,26
21733.png,8,21
26757.png,3,17
37532.png,7,22
71617.png,8,18
57970.png,16,11
73606.png,8,6
21534.png,8,10
9650.png,6,1
73948.png,8,4
32584.png,8,28
28248.png,1,22
13320.png,19,1
80358.png,19,25
10376.png,1,20
16123.png,0,15
79634.png,18,23
59703.png,8,0
36981.png,8,16
2265.png,8,1
1058.png,7,7
76306.png,8,7
42159.png,8,13
24384.png,8,8
28857.png,8,7
15348.png,8,17
41298.png,8,12
22646.png,11,26
20777.png,8,15
23637.png,3,0
30250.png,8,6
37685.png,8,10
41580.png,8,2
45293.png,18,6
67105.png,18,10
50911.png,8,19
12644.png,8,18
15853.png,6,9
3926.png,1,25
73859.png,19,12
46330.png,5,15
34454.png,12,22
65049.png,19,10
12380.png,19,18
42498.png,19,2
40421.png,1,20
38586.png,8,24
45247.png,15,25
11193.png,0,12
40102.png,8,8
42130.png,15,15
14027.png,9,8
32177.png,3,7
2372.png,2,7
44313.png,5,27
55368.png,1,20
62181.png,8,16
42293.png,19,29
37076.png,8,7
34045.png,8,4
18591.png,8,15
74295.png,8,8
14419.png,0,0
79448.png,14,19
76622.png,6,21
71522.png,2,5
68634.png,13,5
51680.png,2,18
21125.png,19,12
59839.png,8,21
25209.png,19,9
12385.png,15,22
39555.png,2,25
16944.png,17,17
5745.png,19,29
78032.png,8,17
431.png,8,7
4322.png,0,4
3351.png,8,29
53198.png,15,23
24668.png,8,17
45736.png,8,21
64736.png,8,12
31861.png,2,17
28313.png,10,2
12788.png,8,26
65762.png,19,27
30181.png,8,12
71912.png,16,27
5959.png,8,21
3881.png,8,10
41636.png,8,18
42185.png,5,11
45471.png,8,17
23506.png,0,14
59228.png,13,7
28569.png,7,22
14885.png,14,16
59014.png,2,5
15243.png,6,21
54403.png,8,2
68438.png,8,4
56617.png,2,0
56223.png,8,12
1141.png,19,25
6531.png,1,20
42151.png,18,23
80581.png,1,22
20816.png,3,12
3398.png,3,14
64322.png,0,18
27579.png,1,22
2978.png,19,8
76431.png,19,5
67420.png,7,1
62119.png,18,23
65083.png,1,20
51951.png,8,21
26159.png,14,19
51340.png,2,17
4312.png,2,17
72087.png,8,7
13623.png,19,27
47196.png,8,28
54970.png,9,0
39199.png,9,5
9032.png,16,16
12493.png,18,23
14113.png,2,5
61414.png,1,22
63744.png,8,11
26132.png,8,10
53749.png,19,20
45129.png,8,11
11797.png,8,14
57609.png,17,8
62304.png,5,8
49270.png,8,12
55573.png,1,20
