filename,cluster,shape_category,file_no,complex_tag
41389.png,15,0,41389,15_0
76542.png,18,16,76542,18_16
9836.png,0,2,9836,0_2
1261.png,0,14,1261,0_14
59952.png,19,5,59952,19_5
32076.png,5,12,32076,5_12
4821.png,13,26,4821,13_26
37907.png,3,7,37907,3_7
43852.png,4,7,43852,4_7
66102.png,3,6,66102,3_6
71924.png,3,22,71924,3_22
73634.png,19,12,73634,19_12
60671.png,14,27,60671,14_27
61738.png,19,19,61738,19_19
64419.png,17,4,64419,17_4
32705.png,13,7,32705,13_7
10457.png,18,23,10457,18_23
5909.png,18,23,5909,18_23
24667.png,0,2,24667,0_2
68080.png,0,2,68080,0_2
27706.png,5,4,27706,5_4
14167.png,18,23,14167,18_23
15529.png,15,7,15529,15_7
17174.png,0,12,17174,0_12
14102.png,14,9,14102,14_9
62334.png,17,23,62334,17_23
68076.png,4,29,68076,4_29
34166.png,3,18,34166,3_18
73827.png,18,25,73827,18_25
54792.png,3,17,54792,3_17
7935.png,14,8,7935,14_8
9044.png,5,25,9044,5_25
78534.png,9,11,78534,9_11
45115.png,19,3,45115,19_3
31779.png,4,24,31779,4_24
73484.png,13,7,73484,13_7
55675.png,5,12,55675,5_12
26354.png,19,13,26354,19_13
49556.png,19,18,49556,19_18
29048.png,0,14,29048,0_14
17955.png,5,18,17955,5_18
63552.png,18,6,63552,18_6
69325.png,10,7,69325,10_7
26760.png,3,3,26760,3_3
49995.png,15,24,49995,15_24
39982.png,18,0,39982,18_0
59102.png,5,13,59102,5_13
38086.png,3,25,38086,3_25
19246.png,3,26,19246,3_26
80158.png,0,12,80158,0_12
60132.png,12,7,60132,12_7
80425.png,4,3,80425,4_3
8176.png,0,0,8176,0_0
22732.png,18,9,22732,18_9
56799.png,15,27,56799,15_27
67465.png,0,2,67465,0_2
2259.png,12,16,2259,12_16
60922.png,12,11,60922,12_11
13497.png,15,21,13497,15_21
10017.png,3,3,10017,3_3
11698.png,19,18,11698,19_18
33199.png,3,27,33199,3_27
50510.png,9,4,50510,9_4
51096.png,18,22,51096,18_22
44404.png,18,27,44404,18_27
65801.png,0,7,65801,0_7
49864.png,3,26,49864,3_26
11039.png,3,4,11039,3_4
51619.png,0,8,51619,0_8
80025.png,17,16,80025,17_16
14692.png,19,23,14692,19_23
75571.png,4,15,75571,4_15
12104.png,18,23,12104,18_23
43036.png,0,6,43036,0_6
11013.png,3,11,11013,3_11
68704.png,18,0,68704,18_0
19497.png,5,13,19497,5_13
37914.png,19,13,37914,19_13
74633.png,19,18,74633,19_18
68676.png,19,17,68676,19_17
55891.png,4,19,55891,4_19
55589.png,19,28,55589,19_28
70239.png,4,27,70239,4_27
2221.png,14,10,2221,14_10
21983.png,19,7,21983,19_7
75673.png,0,4,75673,0_4
38458.png,9,5,38458,9_5
21188.png,4,17,21188,4_17
42974.png,19,28,42974,19_28
69720.png,4,4,69720,4_4
75885.png,7,23,75885,7_23
43324.png,19,13,43324,19_13
10131.png,3,3,10131,3_3
6759.png,9,26,6759,9_26
37805.png,15,25,37805,15_25
79958.png,18,0,79958,18_0
68165.png,13,21,68165,13_21
13454.png,0,14,13454,0_14
9603.png,3,22,9603,3_22
39398.png,15,4,39398,15_4
69995.png,12,16,69995,12_16
8145.png,14,4,8145,14_4
31379.png,4,26,31379,4_26
37963.png,0,14,37963,0_14
37955.png,3,12,37955,3_12
46399.png,19,27,46399,19_27
15551.png,3,16,15551,3_16
43819.png,18,23,43819,18_23
4286.png,3,7,4286,3_7
51114.png,5,4,51114,5_4
35655.png,12,19,35655,12_19
44554.png,5,20,44554,5_20
74115.png,0,2,74115,0_2
50383.png,10,29,50383,10_29
42952.png,4,10,42952,4_10
8519.png,15,2,8519,15_2
37989.png,0,24,37989,0_24
2398.png,19,3,2398,19_3
26678.png,14,9,26678,14_9
75093.png,12,19,75093,12_19
37100.png,17,17,37100,17_17
72322.png,12,17,72322,12_17
1030.png,5,4,1030,5_4
52298.png,15,16,52298,15_16
16499.png,15,23,16499,15_23
6034.png,15,14,6034,15_14
1649.png,14,26,1649,14_26
335.png,9,11,335,9_11
36396.png,19,8,36396,19_8
34763.png,15,13,34763,15_13
54823.png,15,18,54823,15_18
48095.png,0,2,48095,0_2
63317.png,3,16,63317,3_16
73164.png,3,7,73164,3_7
43714.png,18,16,43714,18_16
27263.png,14,2,27263,14_2
67492.png,4,3,67492,4_3
21765.png,5,29,21765,5_29
64917.png,3,16,64917,3_16
24266.png,5,4,24266,5_4
37021.png,12,29,37021,12_29
20839.png,15,21,20839,15_21
35619.png,5,19,35619,5_19
68096.png,3,26,68096,3_26
40863.png,5,22,40863,5_22
78576.png,0,2,78576,0_2
50221.png,17,5,50221,17_5
74785.png,12,4,74785,12_4
67278.png,13,16,67278,13_16
17222.png,18,0,17222,18_0
72266.png,0,7,72266,0_7
9606.png,9,21,9606,9_21
80522.png,0,14,80522,0_14
66935.png,17,18,66935,17_18
53579.png,3,17,53579,3_17
53655.png,5,19,53655,5_19
65829.png,0,21,65829,0_21
33045.png,17,5,33045,17_5
14388.png,0,27,14388,0_27
67483.png,14,7,67483,14_7
17343.png,19,16,17343,19_16
39885.png,0,4,39885,0_4
61914.png,9,11,61914,9_11
26606.png,19,2,26606,19_2
65014.png,3,16,65014,3_16
25353.png,19,29,25353,19_29
7181.png,10,27,7181,10_27
72997.png,0,27,72997,0_27
55090.png,3,28,55090,3_28
17111.png,18,23,17111,18_23
48795.png,5,22,48795,5_22
15407.png,12,17,15407,12_17
25168.png,19,10,25168,19_10
62108.png,18,23,62108,18_23
57573.png,18,10,57573,18_10
6714.png,9,0,6714,9_0
33749.png,19,25,33749,19_25
30750.png,0,16,30750,0_16
27821.png,3,12,27821,3_12
62759.png,0,2,62759,0_2
19262.png,10,3,19262,10_3
73823.png,3,28,73823,3_28
69704.png,17,21,69704,17_21
67905.png,15,28,67905,15_28
74418.png,0,24,74418,0_24
12162.png,3,5,12162,3_5
15439.png,3,2,15439,3_2
70603.png,3,19,70603,3_19
28242.png,0,2,28242,0_2
39381.png,12,16,39381,12_16
28992.png,7,24,28992,7_24
25447.png,0,6,25447,0_6
60627.png,4,6,60627,4_6
22743.png,15,25,22743,15_25
25572.png,13,1,25572,13_1
8109.png,7,1,8109,7_1
14327.png,5,27,14327,5_27
57572.png,5,22,57572,5_22
22002.png,3,3,22002,3_3
42226.png,3,28,42226,3_28
43598.png,0,2,43598,0_2
74226.png,3,5,74226,3_5
8257.png,3,28,8257,3_28
8993.png,15,26,8993,15_26
27625.png,0,2,27625,0_2
59760.png,3,29,59760,3_29
69823.png,14,0,69823,14_0
8417.png,7,19,8417,7_19
1487.png,19,25,1487,19_25
51743.png,5,29,51743,5_29
48306.png,18,23,48306,18_23
60473.png,5,19,60473,5_19
52457.png,7,3,52457,7_3
69993.png,12,7,69993,12_7
63902.png,19,5,63902,19_5
13383.png,5,4,13383,5_4
26052.png,18,23,26052,18_23
42272.png,19,28,42272,19_28
28138.png,17,26,28138,17_26
25711.png,18,25,25711,18_25
3258.png,15,28,3258,15_28
47188.png,7,2,47188,7_2
71644.png,3,9,71644,3_9
74662.png,9,3,74662,9_3
60090.png,18,0,60090,18_0
26964.png,5,2,26964,5_2
3736.png,3,26,3736,3_26
62454.png,17,21,62454,17_21
3282.png,18,25,3282,18_25
34044.png,9,8,34044,9_8
66316.png,17,18,66316,17_18
51211.png,5,19,51211,5_19
51055.png,3,1,51055,3_1
36225.png,4,11,36225,4_11
65407.png,18,0,65407,18_0
51388.png,5,1,51388,5_1
13354.png,0,12,13354,0_12
32719.png,19,24,32719,19_24
33116.png,15,5,33116,15_5
49395.png,0,6,49395,0_6
10526.png,15,28,10526,15_28
77515.png,4,27,77515,4_27
7785.png,17,25,7785,17_25
64354.png,3,14,64354,3_14
59482.png,18,10,59482,18_10
2279.png,15,4,2279,15_4
56590.png,7,27,56590,7_27
37871.png,3,8,37871,3_8
68970.png,15,13,68970,15_13
75880.png,0,6,75880,0_6
57323.png,0,15,57323,0_15
4338.png,18,0,4338,18_0
29622.png,0,27,29622,0_27
21434.png,3,15,21434,3_15
3542.png,3,18,3542,3_18
23716.png,9,26,23716,9_26
11033.png,3,26,11033,3_26
79413.png,9,4,79413,9_4
49189.png,5,19,49189,5_19
54867.png,0,2,54867,0_2
15207.png,0,2,15207,0_2
45707.png,13,25,45707,13_25
43495.png,13,20,43495,13_20
55308.png,7,14,55308,7_14
74591.png,0,8,74591,0_8
1268.png,9,3,1268,9_3
55086.png,19,18,55086,19_18
10825.png,7,1,10825,7_1
28335.png,13,27,28335,13_27
66195.png,4,25,66195,4_25
29309.png,17,27,29309,17_27
31659.png,0,16,31659,0_16
66807.png,0,7,66807,0_7
53652.png,7,1,53652,7_1
2004.png,5,4,2004,5_4
59031.png,18,23,59031,18_23
72098.png,3,18,72098,3_18
40782.png,0,12,40782,0_12
47834.png,15,17,47834,15_17
8660.png,14,26,8660,14_26
65792.png,13,11,65792,13_11
52548.png,5,29,52548,5_29
44802.png,0,2,44802,0_2
3224.png,17,10,3224,17_10
37211.png,5,0,37211,5_0
73028.png,0,26,73028,0_26
1928.png,14,27,1928,14_27
70560.png,5,4,70560,5_4
32790.png,10,17,32790,10_17
16903.png,3,23,16903,3_23
75308.png,19,11,75308,19_11
68930.png,0,4,68930,0_4
43363.png,19,28,43363,19_28
19992.png,3,7,19992,3_7
32729.png,3,26,32729,3_26
62959.png,3,1,62959,3_1
45900.png,3,16,45900,3_16
72978.png,18,23,72978,18_23
73023.png,19,10,73023,19_10
17642.png,14,15,17642,14_15
68027.png,0,5,68027,0_5
69884.png,17,26,69884,17_26
1406.png,4,29,1406,4_29
14834.png,0,0,14834,0_0
26083.png,14,19,26083,14_19
59109.png,19,12,59109,19_12
1064.png,3,26,1064,3_26
64486.png,13,17,64486,13_17
70452.png,13,23,70452,13_23
47146.png,18,29,47146,18_29
54248.png,0,15,54248,0_15
19796.png,3,7,19796,3_7
22102.png,17,25,22102,17_25
42604.png,0,14,42604,0_14
62371.png,0,5,62371,0_5
34601.png,4,25,34601,4_25
18970.png,9,5,18970,9_5
60171.png,10,26,60171,10_26
65195.png,18,23,65195,18_23
2048.png,13,17,2048,13_17
55950.png,5,29,55950,5_29
64.png,3,5,64,3_5
43396.png,19,13,43396,19_13
18567.png,19,7,18567,19_7
60426.png,13,5,60426,13_5
52209.png,7,12,52209,7_12
1286.png,15,2,1286,15_2
62326.png,4,6,62326,4_6
9795.png,17,21,9795,17_21
61119.png,3,18,61119,3_18
17550.png,7,1,17550,7_1
65062.png,18,20,65062,18_20
57398.png,5,7,57398,5_7
30049.png,19,22,30049,19_22
10984.png,0,7,10984,0_7
46212.png,0,15,46212,0_15
9383.png,3,4,9383,3_4
74184.png,18,0,74184,18_0
58785.png,4,1,58785,4_1
15451.png,18,23,15451,18_23
26168.png,0,12,26168,0_12
3469.png,15,3,3469,15_3
7301.png,10,25,7301,10_25
36870.png,5,5,36870,5_5
30004.png,3,3,30004,3_3
21543.png,17,18,21543,17_18
30566.png,19,0,30566,19_0
39691.png,14,8,39691,14_8
62204.png,19,7,62204,19_7
75707.png,0,14,75707,0_14
52721.png,19,28,52721,19_28
41070.png,3,6,41070,3_6
74602.png,13,2,74602,13_2
72700.png,3,3,72700,3_3
56952.png,14,16,56952,14_16
64729.png,19,14,64729,19_14
80744.png,0,2,80744,0_2
51130.png,15,23,51130,15_23
69666.png,7,24,69666,7_24
14654.png,19,0,14654,19_0
80219.png,9,4,80219,9_4
59794.png,18,23,59794,18_23
69385.png,5,11,69385,5_11
36535.png,19,18,36535,19_18
1225.png,15,17,1225,15_17
15387.png,3,7,15387,3_7
64482.png,17,27,64482,17_27
66784.png,18,5,66784,18_5
9398.png,3,25,9398,3_25
5673.png,10,6,5673,10_6
58616.png,19,18,58616,19_18
7930.png,15,15,7930,15_15
64435.png,17,16,64435,17_16
4132.png,18,25,4132,18_25
44145.png,0,2,44145,0_2
5454.png,5,25,5454,5_25
6016.png,0,2,6016,0_2
30907.png,9,11,30907,9_11
72269.png,0,19,72269,0_19
31926.png,0,24,31926,0_24
16951.png,7,1,16951,7_1
6777.png,19,8,6777,19_8
45605.png,10,5,45605,10_5
63586.png,19,29,63586,19_29
2680.png,15,13,2680,15_13
53137.png,15,13,53137,15_13
20231.png,19,27,20231,19_27
26994.png,19,25,26994,19_25
44325.png,0,15,44325,0_15
72586.png,3,26,72586,3_26
75828.png,7,3,75828,7_3
38489.png,15,26,38489,15_26
67425.png,5,11,67425,5_11
27779.png,5,23,27779,5_23
37360.png,18,23,37360,18_23
11908.png,15,17,11908,15_17
77849.png,3,15,77849,3_15
62609.png,5,4,62609,5_4
60130.png,18,23,60130,18_23
63508.png,0,2,63508,0_2
55194.png,19,17,55194,19_17
30584.png,18,23,30584,18_23
40111.png,19,28,40111,19_28
50181.png,9,26,50181,9_26
8090.png,18,27,8090,18_27
68618.png,14,13,68618,14_13
39292.png,19,27,39292,19_27
60860.png,0,2,60860,0_2
48140.png,15,3,48140,15_3
56096.png,10,25,56096,10_25
73181.png,19,22,73181,19_22
59474.png,0,6,59474,0_6
68665.png,14,7,68665,14_7
18920.png,10,19,18920,10_19
46039.png,14,8,46039,14_8
39698.png,13,23,39698,13_23
53032.png,5,4,53032,5_4
70440.png,0,2,70440,0_2
55626.png,14,27,55626,14_27
67584.png,18,23,67584,18_23
63544.png,3,27,63544,3_27
3384.png,15,21,3384,15_21
