base_cluster,other_cluster,group,outlier_id,options
"[3, 4]","[15, 28]","['9383', '35787', '11039', '20671', '67905']",67905,"['11039', '20671', '9383', '67905', '35787']"
"[3, 4]","[15, 17]","['9383', '35787', '11039', '20671', '47834']",47834,"['47834', '35787', '20671', '9383', '11039']"
"[3, 26]","[15, 21]","['11033', '72586', '9147', '49864', '13497']",13497,"['13497', '9147', '11033', '72586', '49864']"
"[17, 21]","[7, 1]","['78147', '9795', '40487', '62454', '53652']",53652,"['40487', '9795', '53652', '78147', '62454']"
"[3, 4]","[15, 21]","['11039', '35787', '9383', '20671', '13497']",13497,"['9383', '11039', '20671', '13497', '35787']"
"[7, 1]","[17, 18]","['16951', '3536', '12421', '10825', '21543']",21543,"['21543', '16951', '3536', '12421', '10825']"
"[7, 20]","[17, 18]","['55305', '2277', '2425', '54372', '70105']",70105,"['54372', '70105', '2425', '2277', '55305']"
"[3, 21]","[15, 13]","['57272', '42206', '47060', '14038', '53137']",53137,"['14038', '47060', '42206', '57272', '53137']"
"[3, 4]","[15, 28]","['35787', '11039', '20671', '9383', '3258']",3258,"['11039', '35787', '9383', '20671', '3258']"
"[3, 7]","[15, 28]","['30859', '19796', '37907', '19992', '3258']",3258,"['37907', '19796', '3258', '19992', '30859']"
"[15, 13]","[3, 12]","['34763', '42684', '53137', '25079', '37955']",37955,"['53137', '25079', '37955', '42684', '34763']"
"[15, 21]","[3, 17]","['3384', '7489', '13497', '20839', '33084']",33084,"['20839', '3384', '13497', '7489', '33084']"
"[3, 16]","[15, 17]","['11746', '59100', '177', '56017', '60915']",60915,"['59100', '11746', '56017', '177', '60915']"
"[3, 7]","[15, 21]","['19796', '30859', '37907', '4286', '7489']",7489,"['4286', '30859', '19796', '37907', '7489']"
"[3, 4]","[15, 21]","['11039', '20671', '9383', '35787', '3384']",3384,"['3384', '20671', '35787', '11039', '9383']"
"[0, 14]","[18, 23]","['37963', '42604', '75707', '39894', '72978']",72978,"['42604', '39894', '75707', '37963', '72978']"
"[3, 7]","[15, 13]","['4286', '73164', '30859', '19992', '34763']",34763,"['73164', '4286', '30859', '34763', '19992']"
"[3, 16]","[15, 28]","['177', '63317', '59100', '56017', '38548']",38548,"['56017', '177', '38548', '59100', '63317']"
"[0, 14]","[18, 25]","['1261', '42604', '75707', '80522', '3282']",3282,"['75707', '42604', '3282', '1261', '80522']"
"[17, 21]","[7, 22]","['78147', '69704', '40487', '62549', '40679']",40679,"['69704', '40679', '78147', '40487', '62549']"
"[3, 17]","[15, 28]","['12043', '54792', '33084', '38478', '23274']",23274,"['38478', '54792', '33084', '23274', '12043']"
"[3, 4]","[15, 13]","['20671', '35787', '11039', '9383', '53137']",53137,"['35787', '53137', '9383', '11039', '20671']"
"[0, 2]","[18, 23]","['44145', '80744', '27625', '45218', '67584']",67584,"['27625', '80744', '67584', '44145', '45218']"
"[18, 23]","[0, 6]","['72978', '5909', '6216', '15451', '75880']",75880,"['72978', '75880', '5909', '15451', '6216']"
"[0, 0]","[18, 23]","['8176', '78009', '14834', '28082', '72365']",72365,"['78009', '14834', '72365', '28082', '8176']"
"[0, 6]","[18, 25]","['49395', '41154', '43375', '75880', '4132']",4132,"['75880', '4132', '41154', '49395', '43375']"
"[3, 4]","[15, 17]","['35787', '9383', '20671', '11039', '60915']",60915,"['11039', '9383', '35787', '20671', '60915']"
"[0, 7]","[18, 25]","['15613', '10984', '72266', '66807', '73827']",73827,"['66807', '73827', '10984', '72266', '15613']"
"[0, 0]","[18, 23]","['28082', '8176', '78009', '14834', '48306']",48306,"['48306', '28082', '8176', '78009', '14834']"
"[3, 3]","[15, 21]","['22002', '30004', '994', '22487', '20839']",20839,"['22487', '994', '22002', '20839', '30004']"
"[7, 1]","[17, 21]","['3536', '12421', '53652', '16951', '40487']",40487,"['16951', '12421', '40487', '3536', '53652']"
"[15, 28]","[3, 5]","['38548', '3258', '10526', '67905', '74226']",74226,"['38548', '10526', '67905', '3258', '74226']"
"[3, 16]","[15, 21]","['63317', '11746', '177', '59100', '7489']",7489,"['63317', '7489', '177', '59100', '11746']"
"[3, 5]","[15, 13]","['12162', '64', '74226', '63514', '24364']",24364,"['74226', '63514', '24364', '64', '12162']"
"[7, 22]","[17, 5]","['79411', '40679', '31113', '23132', '72055']",72055,"['23132', '31113', '40679', '79411', '72055']"
"[0, 6]","[18, 25]","['43036', '59474', '43375', '75880', '25711']",25711,"['59474', '25711', '75880', '43375', '43036']"
"[0, 24]","[18, 23]","['31926', '48780', '37989', '74418', '20502']",20502,"['74418', '37989', '31926', '48780', '20502']"
"[15, 21]","[3, 12]","['3384', '13497', '7489', '20839', '37955']",37955,"['20839', '37955', '7489', '3384', '13497']"
"[17, 5]","[7, 3]","['72055', '50221', '7913', '33045', '64781']",64781,"['50221', '72055', '33045', '64781', '7913']"
"[15, 21]","[3, 12]","['7489', '20839', '13497', '3384', '1181']",1181,"['1181', '7489', '13497', '20839', '3384']"
"[3, 12]","[15, 13]","['20968', '1181', '27821', '37955', '24364']",24364,"['37955', '27821', '20968', '1181', '24364']"
"[3, 28]","[15, 21]","['42226', '12683', '73823', '8257', '13497']",13497,"['42226', '73823', '12683', '13497', '8257']"
"[7, 3]","[17, 21]","['64781', '75828', '52457', '61767', '69704']",69704,"['69704', '75828', '52457', '64781', '61767']"
"[15, 13]","[3, 4]","['25079', '24364', '20590', '68970', '9383']",9383,"['9383', '25079', '24364', '20590', '68970']"
"[15, 21]","[3, 16]","['20839', '7489', '13497', '3384', '177']",177,"['3384', '177', '7489', '13497', '20839']"
"[0, 7]","[18, 23]","['72266', '66807', '65801', '10984', '42151']",42151,"['10984', '65801', '66807', '42151', '72266']"
"[3, 28]","[15, 21]","['55090', '73823', '12683', '42226', '20839']",20839,"['73823', '20839', '12683', '55090', '42226']"
"[0, 6]","[18, 25]","['43036', '41154', '43375', '59474', '73827']",73827,"['41154', '43375', '59474', '73827', '43036']"
"[3, 26]","[15, 17]","['9147', '32729', '72586', '11033', '47834']",47834,"['47834', '32729', '11033', '72586', '9147']"
"[0, 0]","[18, 25]","['14834', '78009', '28082', '8176', '3282']",3282,"['3282', '8176', '78009', '14834', '28082']"
"[18, 25]","[0, 24]","['73827', '3282', '62071', '25711', '37989']",37989,"['37989', '62071', '25711', '3282', '73827']"
"[7, 3]","[17, 5]","['52457', '64781', '75828', '61767', '50221']",50221,"['61767', '64781', '50221', '52457', '75828']"
"[3, 28]","[15, 17]","['55090', '8257', '42226', '12683', '11908']",11908,"['42226', '12683', '8257', '55090', '11908']"
"[3, 12]","[15, 17]","['1181', '20968', '27821', '37955', '60915']",60915,"['27821', '1181', '20968', '60915', '37955']"
"[3, 17]","[15, 13]","['54792', '53579', '64047', '12043', '53137']",53137,"['53137', '54792', '53579', '12043', '64047']"
"[3, 12]","[15, 13]","['37955', '27821', '20968', '1181', '25079']",25079,"['27821', '1181', '37955', '25079', '20968']"
"[15, 28]","[3, 4]","['38548', '3258', '67905', '23274', '11039']",11039,"['23274', '67905', '11039', '38548', '3258']"
"[17, 5]","[7, 20]","['33045', '50221', '7913', '72055', '2277']",2277,"['7913', '33045', '2277', '72055', '50221']"
"[0, 0]","[18, 25]","['28082', '78009', '8176', '14834', '62071']",62071,"['28082', '78009', '62071', '14834', '8176']"
"[15, 17]","[3, 7]","['1225', '47834', '60915', '11908', '19992']",19992,"['1225', '60915', '47834', '11908', '19992']"
"[3, 16]","[15, 28]","['59100', '177', '63317', '56017', '3258']",3258,"['59100', '3258', '63317', '56017', '177']"
"[0, 24]","[18, 23]","['31926', '74418', '48780', '37989', '65195']",65195,"['74418', '48780', '31926', '65195', '37989']"
"[3, 5]","[15, 21]","['12162', '63514', '74226', '64', '20839']",20839,"['20839', '64', '63514', '12162', '74226']"
"[0, 0]","[18, 23]","['14834', '8176', '78009', '28082', '12104']",12104,"['78009', '28082', '12104', '14834', '8176']"
"[0, 24]","[18, 23]","['37989', '48780', '31926', '74418', '67584']",67584,"['48780', '67584', '74418', '31926', '37989']"
"[3, 12]","[15, 21]","['37955', '27821', '20968', '1181', '3384']",3384,"['1181', '37955', '20968', '3384', '27821']"
"[15, 13]","[3, 28]","['53137', '25079', '24364', '68970', '55090']",55090,"['24364', '53137', '55090', '25079', '68970']"
"[0, 6]","[18, 23]","['25447', '43036', '43375', '75880', '78682']",78682,"['75880', '43036', '78682', '43375', '25447']"
"[18, 25]","[0, 7]","['62071', '4132', '3282', '73827', '10984']",10984,"['73827', '3282', '10984', '62071', '4132']"
"[0, 0]","[18, 23]","['8176', '28082', '14834', '78009', '42151']",42151,"['78009', '42151', '14834', '28082', '8176']"
"[3, 28]","[15, 21]","['42226', '73823', '12683', '8257', '20839']",20839,"['73823', '42226', '20839', '12683', '8257']"
"[17, 21]","[7, 20]","['62549', '69704', '78147', '9795', '55305']",55305,"['69704', '55305', '62549', '78147', '9795']"
"[18, 25]","[0, 7]","['62071', '4132', '3282', '25711', '10984']",10984,"['3282', '25711', '62071', '4132', '10984']"
"[3, 3]","[15, 17]","['22487', '22002', '10017', '994', '1225']",1225,"['10017', '22487', '994', '22002', '1225']"
"[15, 13]","[3, 17]","['34763', '25079', '53137', '24364', '64047']",64047,"['34763', '25079', '24364', '64047', '53137']"
"[15, 17]","[3, 21]","['47834', '1225', '60915', '11908', '14038']",14038,"['60915', '47834', '14038', '11908', '1225']"
"[7, 3]","[17, 18]","['64781', '61767', '75828', '52457', '66316']",66316,"['52457', '66316', '61767', '64781', '75828']"
"[7, 22]","[17, 18]","['79411', '40679', '23132', '31113', '46660']",46660,"['40679', '23132', '79411', '46660', '31113']"
"[3, 3]","[15, 21]","['22002', '994', '10131', '22487', '13497']",13497,"['10131', '22002', '13497', '22487', '994']"
"[0, 14]","[18, 25]","['17291', '80522', '37963', '39894', '25711']",25711,"['17291', '39894', '37963', '80522', '25711']"
"[7, 22]","[17, 18]","['31113', '40679', '79411', '23132', '6955']",6955,"['6955', '23132', '31113', '79411', '40679']"
"[18, 25]","[0, 2]","['4132', '25711', '73827', '62071', '45218']",45218,"['45218', '4132', '73827', '25711', '62071']"
"[7, 3]","[17, 21]","['64781', '61767', '75828', '52457', '62549']",62549,"['52457', '62549', '75828', '61767', '64781']"
"[3, 12]","[15, 13]","['20968', '27821', '1181', '37955', '53137']",53137,"['27821', '20968', '37955', '1181', '53137']"
"[7, 22]","[17, 18]","['79411', '31113', '40679', '23132', '70105']",70105,"['70105', '31113', '40679', '79411', '23132']"
"[0, 7]","[18, 23]","['66807', '15613', '65801', '72266', '26755']",26755,"['66807', '65801', '26755', '72266', '15613']"
"[15, 28]","[3, 12]","['67905', '3258', '23274', '10526', '37955']",37955,"['10526', '37955', '23274', '67905', '3258']"
"[0, 14]","[18, 23]","['1261', '80522', '42604', '75707', '65195']",65195,"['1261', '65195', '75707', '80522', '42604']"
"[3, 12]","[15, 17]","['37955', '20968', '27821', '1181', '47834']",47834,"['37955', '27821', '47834', '20968', '1181']"
"[3, 3]","[15, 21]","['72700', '22002', '10131', '22487', '20839']",20839,"['22487', '72700', '20839', '10131', '22002']"
"[3, 5]","[15, 17]","['63514', '12162', '64', '74226', '60915']",60915,"['63514', '12162', '60915', '64', '74226']"
"[0, 2]","[18, 23]","['60860', '28242', '70440', '80744', '5909']",5909,"['80744', '28242', '5909', '70440', '60860']"
"[3, 3]","[15, 28]","['994', '22002', '72700', '22487', '38548']",38548,"['72700', '22487', '38548', '994', '22002']"
"[15, 13]","[3, 28]","['24364', '53137', '25079', '20590', '42226']",42226,"['20590', '42226', '24364', '53137', '25079']"
"[3, 5]","[15, 28]","['12162', '63514', '74226', '64', '67905']",67905,"['63514', '64', '12162', '74226', '67905']"
"[3, 4]","[15, 28]","['9383', '11039', '35787', '20671', '10526']",10526,"['20671', '35787', '9383', '10526', '11039']"
"[3, 16]","[15, 17]","['177', '56017', '11746', '59100', '11908']",11908,"['59100', '11908', '177', '11746', '56017']"
"[15, 28]","[3, 16]","['23274', '10526', '38548', '3258', '59100']",59100,"['23274', '3258', '59100', '10526', '38548']"
"[15, 13]","[3, 26]","['53137', '20590', '34763', '24364', '11033']",11033,"['34763', '24364', '53137', '20590', '11033']"
"[7, 1]","[17, 18]","['16951', '3536', '17550', '10825', '66935']",66935,"['66935', '10825', '17550', '3536', '16951']"
"[15, 17]","[3, 5]","['11908', '60915', '47834', '1225', '74226']",74226,"['11908', '1225', '47834', '60915', '74226']"
"[18, 23]","[0, 6]","['48306', '64247', '25667', '26755', '43375']",43375,"['26755', '64247', '43375', '25667', '48306']"
"[3, 17]","[15, 17]","['54792', '64047', '33084', '12043', '47834']",47834,"['64047', '47834', '12043', '54792', '33084']"
"[3, 28]","[15, 13]","['55090', '12683', '73823', '8257', '24364']",24364,"['55090', '8257', '73823', '24364', '12683']"
"[18, 23]","[0, 6]","['61353', '72978', '14167', '5909', '41154']",41154,"['5909', '72978', '14167', '61353', '41154']"
"[17, 18]","[7, 22]","['6955', '46660', '21408', '31693', '31113']",31113,"['46660', '21408', '31693', '31113', '6955']"
"[3, 17]","[15, 21]","['54792', '38478', '53579', '33084', '20839']",20839,"['54792', '20839', '53579', '33084', '38478']"
"[3, 16]","[15, 28]","['63317', '59100', '177', '11746', '23274']",23274,"['11746', '59100', '63317', '177', '23274']"
"[15, 21]","[3, 28]","['20839', '3384', '7489', '13497', '73823']",73823,"['20839', '7489', '3384', '13497', '73823']"
"[3, 4]","[15, 17]","['35787', '9383', '11039', '20671', '1225']",1225,"['9383', '35787', '20671', '1225', '11039']"
"[17, 18]","[7, 3]","['51240', '21408', '66316', '31693', '64781']",64781,"['66316', '51240', '64781', '21408', '31693']"
"[17, 21]","[7, 20]","['62454', '9795', '69704', '78147', '2425']",2425,"['62454', '2425', '9795', '69704', '78147']"
"[3, 28]","[15, 17]","['42226', '12683', '73823', '55090', '1225']",1225,"['1225', '42226', '73823', '12683', '55090']"
"[15, 28]","[3, 4]","['10526', '38548', '3258', '67905', '20671']",20671,"['10526', '67905', '38548', '20671', '3258']"
"[3, 28]","[15, 17]","['55090', '73823', '8257', '12683', '1225']",1225,"['73823', '55090', '8257', '12683', '1225']"
"[3, 28]","[15, 21]","['42226', '8257', '55090', '12683', '3384']",3384,"['3384', '55090', '12683', '8257', '42226']"
"[3, 3]","[15, 21]","['10131', '22002', '30004', '10017', '3384']",3384,"['10131', '30004', '3384', '10017', '22002']"
"[15, 13]","[3, 12]","['42684', '25079', '53137', '68970', '27821']",27821,"['25079', '27821', '68970', '53137', '42684']"
"[7, 22]","[17, 21]","['23132', '31113', '79411', '40679', '62549']",62549,"['79411', '40679', '31113', '62549', '23132']"
"[17, 18]","[7, 20]","['21543', '6955', '31693', '21408', '55305']",55305,"['21408', '6955', '31693', '21543', '55305']"
"[18, 23]","[0, 2]","['42151', '40817', '26052', '37360', '43629']",43629,"['26052', '40817', '42151', '37360', '43629']"
"[0, 14]","[18, 23]","['37963', '80522', '17291', '75707', '10433']",10433,"['10433', '17291', '75707', '37963', '80522']"
"[3, 26]","[15, 17]","['49864', '34449', '18887', '32729', '1225']",1225,"['18887', '1225', '34449', '49864', '32729']"
"[0, 24]","[18, 23]","['31926', '37989', '74418', '48780', '64247']",64247,"['74418', '64247', '37989', '31926', '48780']"
"[0, 0]","[18, 25]","['14834', '78009', '8176', '28082', '4132']",4132,"['14834', '28082', '8176', '4132', '78009']"
"[7, 20]","[17, 21]","['54372', '55305', '2425', '2277', '9795']",9795,"['54372', '2425', '2277', '55305', '9795']"
"[3, 21]","[15, 13]","['57272', '53064', '14038', '47060', '42684']",42684,"['42684', '53064', '14038', '57272', '47060']"
"[7, 3]","[17, 18]","['75828', '64781', '52457', '61767', '21543']",21543,"['61767', '52457', '64781', '21543', '75828']"
"[3, 26]","[15, 21]","['11033', '49864', '34449', '72586', '7489']",7489,"['49864', '7489', '11033', '72586', '34449']"
"[0, 14]","[18, 23]","['75707', '37963', '39894', '17291', '5909']",5909,"['75707', '39894', '5909', '37963', '17291']"
"[3, 16]","[15, 21]","['63317', '177', '56017', '11746', '13497']",13497,"['56017', '63317', '13497', '177', '11746']"
"[3, 16]","[15, 21]","['11746', '177', '63317', '56017', '3384']",3384,"['63317', '177', '3384', '11746', '56017']"
"[7, 1]","[17, 21]","['17550', '16951', '53652', '3536', '62454']",62454,"['53652', '17550', '62454', '3536', '16951']"
"[0, 2]","[18, 23]","['63508', '43629', '62759', '9639', '20502']",20502,"['63508', '43629', '9639', '62759', '20502']"
"[0, 14]","[18, 25]","['75707', '42604', '1261', '39894', '62071']",62071,"['42604', '75707', '1261', '62071', '39894']"
"[18, 25]","[0, 24]","['4132', '73827', '3282', '62071', '37989']",37989,"['73827', '3282', '4132', '62071', '37989']"
"[18, 25]","[0, 2]","['4132', '62071', '25711', '73827', '80744']",80744,"['25711', '80744', '73827', '4132', '62071']"
"[0, 2]","[18, 25]","['67465', '9639', '27625', '62759', '3282']",3282,"['67465', '3282', '27625', '9639', '62759']"
"[15, 17]","[3, 28]","['47834', '1225', '11908', '60915', '12683']",12683,"['60915', '12683', '1225', '11908', '47834']"
"[0, 6]","[18, 25]","['25447', '43036', '41154', '43375', '3282']",3282,"['43375', '25447', '41154', '43036', '3282']"
"[0, 14]","[18, 23]","['1261', '80522', '75707', '42604', '72365']",72365,"['42604', '72365', '75707', '80522', '1261']"
"[0, 24]","[18, 25]","['37989', '31926', '74418', '48780', '25711']",25711,"['31926', '37989', '74418', '48780', '25711']"
"[15, 28]","[3, 5]","['23274', '3258', '38548', '10526', '74226']",74226,"['74226', '10526', '3258', '38548', '23274']"
"[3, 16]","[15, 13]","['63317', '11746', '177', '59100', '42684']",42684,"['59100', '11746', '177', '42684', '63317']"
"[0, 7]","[18, 25]","['65801', '15613', '72266', '66807', '25711']",25711,"['72266', '65801', '25711', '66807', '15613']"
"[18, 23]","[0, 14]","['32105', '42151', '20502', '64148', '39894']",39894,"['64148', '20502', '39894', '32105', '42151']"
"[17, 5]","[7, 3]","['33045', '50221', '72055', '7913', '52457']",52457,"['7913', '52457', '50221', '72055', '33045']"
"[7, 3]","[17, 18]","['61767', '52457', '64781', '75828', '6955']",6955,"['75828', '61767', '6955', '52457', '64781']"
"[15, 13]","[3, 26]","['68970', '24364', '53137', '42684', '40031']",40031,"['42684', '68970', '24364', '40031', '53137']"
"[18, 23]","[0, 6]","['10433', '61353', '26052', '67584', '59474']",59474,"['26052', '10433', '61353', '67584', '59474']"
"[15, 28]","[3, 28]","['23274', '38548', '10526', '67905', '12683']",12683,"['12683', '67905', '23274', '38548', '10526']"
"[3, 7]","[15, 13]","['19796', '30859', '4286', '19992', '53137']",53137,"['19796', '30859', '53137', '19992', '4286']"
"[3, 7]","[15, 28]","['37907', '73164', '4286', '19992', '3258']",3258,"['4286', '73164', '3258', '19992', '37907']"
"[7, 3]","[17, 18]","['61767', '75828', '64781', '52457', '21408']",21408,"['21408', '64781', '61767', '75828', '52457']"
"[7, 1]","[17, 21]","['8109', '12376', '16951', '10825', '40487']",40487,"['12376', '16951', '10825', '40487', '8109']"
"[3, 21]","[15, 21]","['14038', '42206', '47060', '57272', '20839']",20839,"['47060', '14038', '20839', '57272', '42206']"
"[3, 28]","[15, 28]","['8257', '55090', '12683', '73823', '3258']",3258,"['55090', '3258', '12683', '73823', '8257']"
"[18, 25]","[0, 24]","['25711', '73827', '4132', '3282', '74418']",74418,"['74418', '4132', '3282', '25711', '73827']"
"[3, 12]","[15, 17]","['37955', '1181', '27821', '20968', '11908']",11908,"['11908', '20968', '27821', '37955', '1181']"
"[17, 21]","[7, 1]","['62549', '69704', '40487', '9795', '8109']",8109,"['40487', '69704', '9795', '62549', '8109']"
"[7, 20]","[17, 21]","['54372', '2425', '55305', '2277', '78147']",78147,"['2425', '78147', '54372', '55305', '2277']"
"[18, 25]","[0, 14]","['25711', '62071', '3282', '4132', '75707']",75707,"['62071', '4132', '3282', '75707', '25711']"
"[0, 2]","[18, 25]","['62759', '9639', '32703', '43629', '73827']",73827,"['73827', '9639', '43629', '62759', '32703']"
"[3, 3]","[15, 28]","['22002', '994', '22487', '72700', '67905']",67905,"['22487', '72700', '67905', '994', '22002']"
"[17, 18]","[7, 20]","['66935', '21408', '66316', '31693', '55305']",55305,"['66935', '21408', '55305', '31693', '66316']"
"[3, 28]","[15, 28]","['55090', '12683', '73823', '8257', '38548']",38548,"['12683', '55090', '38548', '8257', '73823']"
"[3, 21]","[15, 21]","['14038', '42206', '57272', '47060', '13497']",13497,"['13497', '47060', '14038', '57272', '42206']"
"[7, 20]","[17, 5]","['2277', '2425', '54372', '55305', '50221']",50221,"['2425', '50221', '2277', '54372', '55305']"
"[7, 1]","[17, 18]","['16951', '3536', '12376', '17550', '66316']",66316,"['66316', '12376', '17550', '3536', '16951']"
"[0, 14]","[18, 23]","['80522', '42604', '37963', '17291', '5909']",5909,"['80522', '37963', '17291', '42604', '5909']"
"[3, 7]","[15, 21]","['30859', '19796', '4286', '19992', '13497']",13497,"['19992', '19796', '30859', '13497', '4286']"
"[3, 17]","[15, 28]","['38478', '12043', '64047', '33084', '38548']",38548,"['64047', '12043', '38478', '33084', '38548']"
"[3, 4]","[15, 13]","['35787', '9383', '11039', '20671', '68970']",68970,"['9383', '20671', '11039', '35787', '68970']"
"[3, 7]","[15, 17]","['73164', '19992', '19796', '4286', '11908']",11908,"['19992', '19796', '73164', '4286', '11908']"
"[17, 18]","[7, 3]","['70105', '31693', '51240', '6955', '61767']",61767,"['51240', '31693', '6955', '70105', '61767']"
"[3, 17]","[15, 21]","['53579', '12043', '64047', '54792', '3384']",3384,"['12043', '64047', '54792', '53579', '3384']"
"[18, 25]","[0, 24]","['73827', '4132', '3282', '25711', '37989']",37989,"['3282', '4132', '37989', '25711', '73827']"
"[7, 20]","[17, 18]","['2277', '55305', '54372', '2425', '51240']",51240,"['2277', '51240', '55305', '2425', '54372']"
"[0, 24]","[18, 23]","['74418', '37989', '48780', '31926', '72365']",72365,"['31926', '72365', '48780', '37989', '74418']"
"[3, 4]","[15, 28]","['35787', '9383', '11039', '20671', '38548']",38548,"['20671', '38548', '9383', '11039', '35787']"
"[18, 23]","[0, 2]","['64247', '61353', '48306', '72365', '43629']",43629,"['48306', '64247', '61353', '43629', '72365']"
"[3, 17]","[15, 17]","['12043', '64047', '53579', '33084', '1225']",1225,"['53579', '33084', '64047', '1225', '12043']"
"[18, 25]","[0, 7]","['3282', '62071', '25711', '4132', '66807']",66807,"['62071', '66807', '25711', '3282', '4132']"
"[18, 23]","[0, 14]","['26052', '14167', '37360', '12104', '39894']",39894,"['14167', '26052', '37360', '39894', '12104']"
"[3, 28]","[15, 21]","['42226', '8257', '73823', '55090', '13497']",13497,"['73823', '55090', '8257', '13497', '42226']"
"[3, 26]","[15, 13]","['11033', '1064', '32729', '40031', '24364']",24364,"['40031', '11033', '32729', '1064', '24364']"
"[0, 2]","[18, 25]","['67842', '66847', '67465', '44145', '4132']",4132,"['4132', '44145', '67842', '66847', '67465']"
"[7, 1]","[17, 21]","['17550', '12421', '3536', '8109', '9795']",9795,"['3536', '12421', '8109', '17550', '9795']"
"[7, 1]","[17, 18]","['53652', '16951', '12421', '8109', '21543']",21543,"['21543', '16951', '12421', '53652', '8109']"
"[0, 6]","[18, 23]","['59474', '41154', '25447', '49395', '20502']",20502,"['41154', '59474', '49395', '25447', '20502']"
"[0, 6]","[18, 25]","['49395', '43375', '43036', '59474', '3282']",3282,"['43375', '3282', '43036', '49395', '59474']"
"[17, 21]","[7, 3]","['78147', '40487', '69704', '9795', '52457']",52457,"['69704', '52457', '78147', '9795', '40487']"
"[3, 12]","[15, 21]","['1181', '27821', '20968', '37955', '13497']",13497,"['1181', '37955', '27821', '20968', '13497']"
"[0, 2]","[18, 23]","['66847', '48095', '28242', '54867', '20502']",20502,"['54867', '48095', '20502', '28242', '66847']"
"[3, 17]","[15, 21]","['33084', '12043', '54792', '53579', '20839']",20839,"['33084', '53579', '54792', '20839', '12043']"
"[15, 28]","[3, 7]","['38548', '23274', '67905', '10526', '19992']",19992,"['19992', '10526', '38548', '23274', '67905']"
"[0, 14]","[18, 23]","['1261', '80522', '75707', '17291', '72365']",72365,"['72365', '17291', '1261', '80522', '75707']"
"[17, 21]","[7, 22]","['62454', '9795', '78147', '62549', '79411']",79411,"['79411', '62549', '9795', '62454', '78147']"
"[0, 14]","[18, 23]","['75707', '39894', '37963', '1261', '10433']",10433,"['75707', '37963', '1261', '10433', '39894']"
"[3, 21]","[15, 28]","['53064', '14038', '47060', '57272', '3258']",3258,"['47060', '3258', '53064', '57272', '14038']"
"[3, 3]","[15, 28]","['30004', '72700', '10017', '10131', '67905']",67905,"['67905', '10017', '10131', '72700', '30004']"
"[0, 7]","[18, 25]","['72266', '15613', '10984', '65801', '25711']",25711,"['65801', '72266', '15613', '25711', '10984']"
"[3, 4]","[15, 28]","['11039', '9383', '35787', '20671', '23274']",23274,"['35787', '23274', '20671', '9383', '11039']"
