base_cluster,other_cluster,group,outlier_id,options
"[15, 28]","[19, 28]","['38548', '3258', '10526', '23274', '52721']",52721,"['10526', '23274', '52721', '38548', '3258']"
"[3, 28]","[19, 28]","['73823', '42226', '55090', '12683', '23197']",23197,"['42226', '23197', '12683', '55090', '73823']"
"[19, 8]","[14, 8]","['36396', '71082', '19346', '6777', '46039']",46039,"['6777', '36396', '19346', '46039', '71082']"
"[15, 28]","[19, 28]","['3258', '67905', '10526', '23274', '23197']",23197,"['10526', '3258', '23197', '67905', '23274']"
"[15, 13]","[19, 13]","['53137', '24364', '68970', '20590', '35479']",35479,"['20590', '24364', '35479', '68970', '53137']"
"[19, 28]","[15, 28]","['23197', '43363', '42272', '40111', '3258']",3258,"['40111', '42272', '3258', '23197', '43363']"
"[19, 14]","[0, 14]","['64729', '26703', '72517', '26372', '42604']",42604,"['26372', '42604', '72517', '26703', '64729']"
"[3, 21]","[17, 21]","['53064', '47060', '57272', '42206', '69704']",69704,"['47060', '53064', '69704', '57272', '42206']"
"[9, 3]","[7, 3]","['1268', '64671', '14914', '9662', '52457']",52457,"['64671', '52457', '1268', '14914', '9662']"
"[3, 28]","[19, 28]","['73823', '8257', '55090', '42226', '23197']",23197,"['55090', '42226', '73823', '8257', '23197']"
"[14, 7]","[0, 7]","['77045', '51393', '25607', '38835', '72266']",72266,"['25607', '77045', '38835', '51393', '72266']"
"[14, 7]","[0, 7]","['38835', '51393', '77045', '25607', '15613']",15613,"['38835', '51393', '25607', '15613', '77045']"
"[17, 5]","[19, 5]","['50221', '72055', '7913', '33045', '63902']",63902,"['7913', '50221', '63902', '33045', '72055']"
"[3, 28]","[19, 28]","['12683', '8257', '73823', '55090', '40111']",40111,"['55090', '40111', '8257', '12683', '73823']"
"[19, 5]","[17, 5]","['32569', '55314', '17017', '63902', '72055']",72055,"['55314', '17017', '32569', '72055', '63902']"
"[17, 18]","[19, 18]","['31693', '66316', '51240', '21543', '30721']",30721,"['51240', '31693', '30721', '21543', '66316']"
"[0, 7]","[3, 7]","['10984', '66807', '72266', '65801', '37907']",37907,"['10984', '65801', '72266', '66807', '37907']"
"[3, 21]","[17, 21]","['42206', '57272', '14038', '47060', '40487']",40487,"['40487', '47060', '42206', '14038', '57272']"
"[3, 4]","[5, 4]","['9383', '20671', '11039', '35787', '62609']",62609,"['62609', '9383', '11039', '20671', '35787']"
"[18, 25]","[19, 25]","['3282', '25711', '4132', '73827', '47247']",47247,"['73827', '47247', '4132', '25711', '3282']"
"[19, 25]","[18, 25]","['74532', '47247', '33749', '26994', '25711']",25711,"['47247', '74532', '26994', '33749', '25711']"
"[9, 26]","[3, 26]","['27788', '7474', '23716', '50181', '34449']",34449,"['34449', '7474', '23716', '27788', '50181']"
"[17, 21]","[3, 21]","['78147', '40487', '62454', '9795', '14038']",14038,"['78147', '62454', '14038', '9795', '40487']"
"[9, 3]","[7, 3]","['64671', '1268', '14914', '74662', '75828']",75828,"['74662', '75828', '14914', '64671', '1268']"
"[15, 21]","[17, 21]","['20839', '7489', '3384', '13497', '62549']",62549,"['20839', '62549', '13497', '7489', '3384']"
"[3, 7]","[0, 7]","['37907', '19796', '19992', '73164', '65801']",65801,"['37907', '19992', '65801', '19796', '73164']"
"[5, 22]","[7, 22]","['77349', '40863', '57572', '48795', '79411']",79411,"['48795', '77349', '79411', '57572', '40863']"
"[9, 3]","[7, 3]","['14914', '74662', '1268', '9662', '75828']",75828,"['14914', '74662', '75828', '1268', '9662']"
"[19, 28]","[3, 28]","['52721', '43363', '55589', '42272', '73823']",73823,"['42272', '43363', '73823', '55589', '52721']"
"[15, 13]","[19, 13]","['24364', '25079', '68970', '53137', '43396']",43396,"['68970', '53137', '43396', '24364', '25079']"
"[9, 26]","[3, 26]","['27788', '6759', '50181', '23716', '49864']",49864,"['23716', '49864', '27788', '6759', '50181']"
"[9, 26]","[3, 26]","['23716', '50181', '27788', '6759', '19246']",19246,"['50181', '6759', '23716', '27788', '19246']"
"[15, 13]","[19, 13]","['20590', '42684', '25079', '24364', '42612']",42612,"['24364', '25079', '20590', '42612', '42684']"
"[17, 21]","[3, 21]","['78147', '62549', '40487', '62454', '42206']",42206,"['62454', '42206', '78147', '40487', '62549']"
"[9, 3]","[7, 3]","['64671', '74662', '9662', '1268', '75828']",75828,"['64671', '1268', '75828', '74662', '9662']"
"[5, 22]","[7, 22]","['77349', '48795', '57572', '7217', '40679']",40679,"['57572', '7217', '77349', '48795', '40679']"
"[15, 13]","[19, 13]","['34763', '68970', '25079', '53137', '43396']",43396,"['43396', '53137', '25079', '68970', '34763']"
"[9, 3]","[3, 3]","['14914', '1268', '74662', '64671', '22002']",22002,"['14914', '64671', '74662', '1268', '22002']"
"[19, 18]","[17, 18]","['41277', '55086', '74633', '49556', '46660']",46660,"['49556', '55086', '46660', '74633', '41277']"
"[3, 3]","[9, 3]","['994', '22002', '10017', '30004', '74662']",74662,"['22002', '74662', '30004', '994', '10017']"
"[7, 3]","[3, 3]","['75828', '64781', '52457', '61767', '10131']",10131,"['75828', '61767', '52457', '10131', '64781']"
"[19, 28]","[15, 28]","['55589', '43363', '23197', '42272', '38548']",38548,"['42272', '43363', '23197', '55589', '38548']"
"[15, 21]","[17, 21]","['3384', '13497', '7489', '20839', '9795']",9795,"['13497', '7489', '20839', '9795', '3384']"
"[3, 4]","[9, 4]","['9383', '35787', '11039', '20671', '79413']",79413,"['9383', '79413', '11039', '20671', '35787']"
"[14, 7]","[3, 7]","['51393', '77045', '67483', '38835', '37907']",37907,"['38835', '77045', '51393', '67483', '37907']"
"[7, 3]","[9, 3]","['64781', '75828', '52457', '61767', '74662']",74662,"['64781', '52457', '75828', '61767', '74662']"
"[3, 7]","[0, 7]","['19796', '37907', '19992', '73164', '10984']",10984,"['37907', '19796', '73164', '10984', '19992']"
"[0, 7]","[3, 7]","['65801', '72266', '15613', '66807', '19992']",19992,"['15613', '65801', '19992', '72266', '66807']"
"[19, 28]","[3, 28]","['52721', '23197', '42272', '55589', '42226']",42226,"['52721', '42226', '23197', '42272', '55589']"
"[9, 4]","[5, 4]","['64614', '80219', '79413', '50510', '63485']",63485,"['63485', '64614', '79413', '80219', '50510']"
"[3, 3]","[7, 3]","['994', '10017', '22002', '22487', '52457']",52457,"['994', '22487', '10017', '52457', '22002']"
"[7, 22]","[5, 22]","['23132', '79411', '40679', '31113', '77349']",77349,"['79411', '23132', '40679', '31113', '77349']"
"[19, 14]","[0, 14]","['72517', '64729', '26372', '26703', '1261']",1261,"['1261', '26372', '26703', '64729', '72517']"
"[19, 28]","[3, 28]","['52721', '23197', '40111', '55589', '42226']",42226,"['52721', '40111', '42226', '55589', '23197']"
"[5, 22]","[7, 22]","['77349', '48795', '7217', '57572', '23132']",23132,"['48795', '23132', '57572', '7217', '77349']"
"[19, 13]","[15, 13]","['37914', '35479', '42612', '43324', '20590']",20590,"['42612', '43324', '35479', '20590', '37914']"
"[14, 8]","[19, 8]","['40877', '46039', '28694', '39691', '36396']",36396,"['39691', '46039', '28694', '40877', '36396']"
"[9, 4]","[3, 4]","['50510', '64614', '79413', '80219', '9383']",9383,"['79413', '64614', '50510', '80219', '9383']"
"[3, 5]","[19, 5]","['12162', '64', '63514', '74226', '76431']",76431,"['76431', '63514', '74226', '12162', '64']"
"[3, 7]","[14, 7]","['19796', '4286', '30859', '19992', '77045']",77045,"['30859', '77045', '4286', '19796', '19992']"
"[15, 13]","[19, 13]","['42684', '68970', '53137', '20590', '43396']",43396,"['53137', '43396', '68970', '42684', '20590']"
"[17, 21]","[15, 21]","['62454', '9795', '62549', '78147', '13497']",13497,"['62454', '78147', '62549', '13497', '9795']"
"[19, 5]","[3, 5]","['17017', '63902', '72346', '76431', '12162']",12162,"['17017', '72346', '76431', '63902', '12162']"
"[3, 28]","[19, 28]","['8257', '55090', '12683', '73823', '43363']",43363,"['43363', '55090', '12683', '8257', '73823']"
"[15, 21]","[17, 21]","['13497', '20839', '3384', '7489', '62454']",62454,"['7489', '3384', '20839', '62454', '13497']"
"[9, 3]","[7, 3]","['9662', '74662', '64671', '1268', '64781']",64781,"['74662', '64781', '9662', '1268', '64671']"
"[19, 13]","[15, 13]","['43396', '42612', '37914', '26354', '34763']",34763,"['43396', '37914', '34763', '42612', '26354']"
"[7, 22]","[5, 22]","['31113', '79411', '23132', '40679', '40863']",40863,"['23132', '31113', '40863', '79411', '40679']"
"[3, 26]","[9, 26]","['11033', '9147', '50906', '19246', '23716']",23716,"['50906', '9147', '23716', '11033', '19246']"
"[5, 4]","[9, 4]","['70560', '63485', '62609', '27706', '50510']",50510,"['62609', '70560', '50510', '27706', '63485']"
"[7, 3]","[9, 3]","['75828', '64781', '61767', '52457', '64671']",64671,"['75828', '64781', '52457', '61767', '64671']"
"[5, 4]","[9, 4]","['70560', '53032', '62609', '51114', '64614']",64614,"['53032', '70560', '62609', '64614', '51114']"
"[14, 7]","[3, 7]","['25607', '51393', '38835', '67483', '73164']",73164,"['51393', '38835', '25607', '67483', '73164']"
"[3, 4]","[5, 4]","['9383', '11039', '20671', '35787', '70560']",70560,"['20671', '70560', '35787', '9383', '11039']"
"[3, 28]","[19, 28]","['12683', '73823', '55090', '8257', '55589']",55589,"['12683', '55589', '55090', '73823', '8257']"
"[3, 3]","[9, 3]","['10131', '30004', '22487', '72700', '74662']",74662,"['72700', '74662', '30004', '22487', '10131']"
"[3, 7]","[14, 7]","['4286', '37907', '30859', '19796', '77045']",77045,"['19796', '4286', '30859', '37907', '77045']"
"[15, 21]","[17, 21]","['20839', '13497', '3384', '7489', '69704']",69704,"['7489', '69704', '3384', '13497', '20839']"
"[9, 3]","[7, 3]","['74662', '64671', '14914', '9662', '75828']",75828,"['64671', '74662', '14914', '9662', '75828']"
"[14, 8]","[19, 8]","['40877', '28732', '46039', '28694', '71082']",71082,"['71082', '28694', '28732', '46039', '40877']"
"[19, 25]","[18, 25]","['26994', '33749', '59747', '74532', '62071']",62071,"['74532', '33749', '59747', '62071', '26994']"
"[19, 28]","[3, 28]","['42272', '23197', '43363', '40111', '73823']",73823,"['43363', '42272', '73823', '40111', '23197']"
"[19, 18]","[17, 18]","['58616', '74633', '35149', '41277', '51240']",51240,"['41277', '35149', '51240', '58616', '74633']"
"[17, 21]","[3, 21]","['62454', '78147', '69704', '9795', '14038']",14038,"['9795', '14038', '78147', '69704', '62454']"
"[19, 13]","[15, 13]","['37914', '43324', '42612', '35479', '34763']",34763,"['35479', '37914', '34763', '43324', '42612']"
"[0, 14]","[19, 14]","['37963', '39894', '17291', '80522', '26372']",26372,"['80522', '37963', '39894', '26372', '17291']"
"[5, 22]","[7, 22]","['48795', '7217', '40863', '77349', '23132']",23132,"['40863', '48795', '7217', '77349', '23132']"
"[19, 25]","[18, 25]","['33749', '26994', '59747', '47247', '25711']",25711,"['25711', '47247', '33749', '26994', '59747']"
"[3, 26]","[9, 26]","['50906', '32729', '18887', '19246', '23716']",23716,"['50906', '32729', '23716', '19246', '18887']"
"[19, 14]","[0, 14]","['72517', '64729', '26703', '26372', '39894']",39894,"['26703', '64729', '39894', '26372', '72517']"
"[7, 22]","[5, 22]","['31113', '79411', '40679', '23132', '48795']",48795,"['48795', '40679', '31113', '79411', '23132']"
"[19, 28]","[15, 28]","['52721', '23197', '55589', '40111', '3258']",3258,"['23197', '55589', '40111', '3258', '52721']"
"[17, 18]","[19, 18]","['21543', '66935', '70105', '51240', '41277']",41277,"['70105', '21543', '41277', '51240', '66935']"
"[19, 13]","[15, 13]","['42612', '26354', '43396', '37914', '68970']",68970,"['26354', '68970', '43396', '37914', '42612']"
"[5, 22]","[7, 22]","['48795', '77349', '7217', '40863', '40679']",40679,"['40679', '7217', '40863', '48795', '77349']"
"[19, 25]","[18, 25]","['59747', '33749', '47247', '74532', '4132']",4132,"['4132', '74532', '47247', '59747', '33749']"
"[19, 13]","[15, 13]","['35479', '43324', '43396', '26354', '24364']",24364,"['43396', '43324', '26354', '35479', '24364']"
"[0, 7]","[14, 7]","['15613', '66807', '72266', '65801', '25607']",25607,"['66807', '25607', '15613', '72266', '65801']"
"[3, 7]","[14, 7]","['19992', '4286', '30859', '73164', '38835']",38835,"['4286', '73164', '30859', '38835', '19992']"
"[9, 26]","[3, 26]","['7474', '27788', '50181', '23716', '49864']",49864,"['49864', '27788', '23716', '7474', '50181']"
"[5, 4]","[3, 4]","['63485', '70560', '27706', '51114', '35787']",35787,"['27706', '51114', '35787', '70560', '63485']"
"[3, 3]","[9, 3]","['10131', '994', '22487', '72700', '64671']",64671,"['10131', '994', '64671', '72700', '22487']"
"[3, 7]","[0, 7]","['30859', '4286', '19796', '73164', '72266']",72266,"['4286', '30859', '72266', '73164', '19796']"
"[18, 25]","[19, 25]","['73827', '3282', '25711', '62071', '33749']",33749,"['33749', '62071', '73827', '25711', '3282']"
"[19, 13]","[15, 13]","['43396', '37914', '43324', '35479', '34763']",34763,"['37914', '34763', '43396', '43324', '35479']"
"[19, 5]","[3, 5]","['63902', '55314', '76431', '72346', '74226']",74226,"['74226', '76431', '72346', '55314', '63902']"
"[15, 21]","[17, 21]","['7489', '13497', '3384', '20839', '40487']",40487,"['7489', '3384', '20839', '13497', '40487']"
"[17, 21]","[15, 21]","['69704', '62549', '78147', '62454', '13497']",13497,"['62454', '62549', '69704', '13497', '78147']"
"[9, 26]","[3, 26]","['7474', '50181', '6759', '23716', '68096']",68096,"['6759', '50181', '7474', '23716', '68096']"
"[17, 5]","[19, 5]","['33045', '72055', '50221', '7913', '55314']",55314,"['72055', '7913', '50221', '33045', '55314']"
"[14, 7]","[3, 7]","['51393', '25607', '67483', '38835', '19992']",19992,"['25607', '67483', '51393', '38835', '19992']"
"[17, 21]","[3, 21]","['78147', '62454', '40487', '62549', '53064']",53064,"['40487', '62454', '62549', '78147', '53064']"
"[15, 28]","[19, 28]","['38548', '10526', '23274', '3258', '23197']",23197,"['10526', '23274', '3258', '38548', '23197']"
"[18, 25]","[19, 25]","['3282', '4132', '25711', '73827', '59747']",59747,"['25711', '4132', '59747', '73827', '3282']"
"[19, 14]","[0, 14]","['26372', '26703', '64729', '72517', '37963']",37963,"['26372', '37963', '26703', '72517', '64729']"
"[3, 26]","[9, 26]","['1064', '19246', '40031', '49864', '7474']",7474,"['49864', '7474', '40031', '19246', '1064']"
"[5, 4]","[9, 4]","['53032', '51114', '2004', '63485', '79413']",79413,"['63485', '79413', '51114', '2004', '53032']"
"[15, 13]","[19, 13]","['42684', '34763', '24364', '25079', '26354']",26354,"['24364', '42684', '34763', '26354', '25079']"
"[17, 18]","[19, 18]","['21408', '66935', '21543', '31693', '35149']",35149,"['21543', '31693', '66935', '35149', '21408']"
"[19, 14]","[0, 14]","['26703', '72517', '26372', '64729', '17291']",17291,"['72517', '17291', '26372', '26703', '64729']"
"[19, 13]","[15, 13]","['37914', '35479', '43396', '42612', '68970']",68970,"['35479', '37914', '43396', '68970', '42612']"
"[18, 25]","[19, 25]","['3282', '4132', '73827', '62071', '33749']",33749,"['73827', '62071', '4132', '33749', '3282']"
"[19, 18]","[17, 18]","['58616', '35149', '41277', '55086', '51240']",51240,"['55086', '58616', '41277', '35149', '51240']"
"[0, 14]","[19, 14]","['17291', '37963', '80522', '1261', '64729']",64729,"['64729', '1261', '17291', '37963', '80522']"
"[0, 14]","[19, 14]","['75707', '42604', '17291', '39894', '26372']",26372,"['17291', '42604', '39894', '75707', '26372']"
"[3, 7]","[14, 7]","['30859', '19796', '19992', '73164', '51393']",51393,"['51393', '19796', '19992', '30859', '73164']"
"[18, 25]","[19, 25]","['4132', '73827', '3282', '62071', '26994']",26994,"['73827', '4132', '62071', '3282', '26994']"
"[19, 13]","[15, 13]","['43396', '37914', '43324', '42612', '20590']",20590,"['37914', '20590', '43324', '43396', '42612']"
"[19, 18]","[17, 18]","['74633', '35149', '36535', '49556', '66316']",66316,"['36535', '66316', '74633', '49556', '35149']"
"[19, 25]","[18, 25]","['74532', '33749', '59747', '47247', '25711']",25711,"['74532', '47247', '33749', '59747', '25711']"
"[17, 18]","[19, 18]","['66935', '66316', '21408', '21543', '36535']",36535,"['21543', '66316', '36535', '21408', '66935']"
"[19, 13]","[15, 13]","['26354', '43396', '35479', '43324', '20590']",20590,"['26354', '43324', '35479', '20590', '43396']"
"[17, 21]","[15, 21]","['69704', '62549', '62454', '40487', '20839']",20839,"['20839', '40487', '69704', '62549', '62454']"
"[3, 26]","[9, 26]","['49864', '34449', '19246', '72586', '7474']",7474,"['7474', '72586', '49864', '34449', '19246']"
"[19, 5]","[17, 5]","['55314', '72346', '32569', '17017', '50221']",50221,"['50221', '17017', '72346', '55314', '32569']"
"[3, 5]","[19, 5]","['12162', '64', '74226', '63514', '59952']",59952,"['12162', '74226', '63514', '59952', '64']"
"[3, 7]","[0, 7]","['73164', '19796', '19992', '4286', '66807']",66807,"['19992', '66807', '73164', '4286', '19796']"
"[15, 13]","[19, 13]","['68970', '24364', '53137', '25079', '37914']",37914,"['37914', '53137', '25079', '24364', '68970']"
"[0, 7]","[3, 7]","['72266', '65801', '10984', '66807', '30859']",30859,"['66807', '72266', '65801', '30859', '10984']"
"[19, 18]","[17, 18]","['29042', '35149', '58616', '49556', '70105']",70105,"['58616', '70105', '49556', '35149', '29042']"
"[19, 25]","[18, 25]","['26994', '59747', '74532', '47247', '3282']",3282,"['47247', '26994', '74532', '3282', '59747']"
"[5, 22]","[7, 22]","['7217', '40863', '57572', '77349', '40679']",40679,"['40863', '40679', '57572', '7217', '77349']"
"[0, 14]","[19, 14]","['17291', '80522', '75707', '37963', '26703']",26703,"['26703', '80522', '17291', '75707', '37963']"
"[0, 14]","[19, 14]","['37963', '39894', '80522', '75707', '26372']",26372,"['80522', '75707', '37963', '26372', '39894']"
"[3, 3]","[9, 3]","['22002', '10017', '994', '10131', '74662']",74662,"['994', '10131', '22002', '10017', '74662']"
"[0, 7]","[3, 7]","['10984', '72266', '15613', '65801', '4286']",4286,"['4286', '10984', '65801', '15613', '72266']"
"[19, 13]","[15, 13]","['37914', '43396', '42612', '43324', '42684']",42684,"['42684', '42612', '43324', '43396', '37914']"
"[15, 13]","[19, 13]","['68970', '24364', '20590', '42684', '35479']",35479,"['24364', '35479', '42684', '68970', '20590']"
"[15, 28]","[19, 28]","['67905', '38548', '23274', '3258', '43363']",43363,"['23274', '67905', '3258', '43363', '38548']"
"[15, 13]","[19, 13]","['20590', '68970', '42684', '53137', '42612']",42612,"['53137', '68970', '20590', '42612', '42684']"
"[3, 28]","[19, 28]","['8257', '73823', '42226', '12683', '23197']",23197,"['73823', '23197', '12683', '8257', '42226']"
"[5, 4]","[3, 4]","['2004', '70560', '27706', '51114', '35787']",35787,"['2004', '70560', '35787', '51114', '27706']"
"[19, 5]","[17, 5]","['32569', '59952', '72346', '17017', '72055']",72055,"['59952', '72346', '32569', '17017', '72055']"
"[19, 18]","[17, 18]","['58616', '41277', '29042', '49556', '31693']",31693,"['31693', '49556', '41277', '58616', '29042']"
"[7, 3]","[3, 3]","['75828', '52457', '64781', '61767', '30004']",30004,"['61767', '30004', '64781', '52457', '75828']"
"[18, 25]","[19, 25]","['73827', '62071', '25711', '4132', '33749']",33749,"['25711', '62071', '4132', '73827', '33749']"
"[5, 22]","[7, 22]","['77349', '7217', '48795', '57572', '31113']",31113,"['48795', '57572', '7217', '77349', '31113']"
"[3, 28]","[19, 28]","['12683', '73823', '55090', '8257', '23197']",23197,"['8257', '23197', '73823', '12683', '55090']"
"[3, 26]","[9, 26]","['40031', '11033', '72586', '50906', '27788']",27788,"['50906', '40031', '11033', '72586', '27788']"
"[15, 13]","[19, 13]","['53137', '20590', '42684', '24364', '42612']",42612,"['53137', '20590', '42684', '42612', '24364']"
"[0, 14]","[19, 14]","['42604', '17291', '37963', '75707', '26703']",26703,"['75707', '42604', '26703', '37963', '17291']"
"[3, 3]","[7, 3]","['72700', '10017', '994', '30004', '61767']",61767,"['61767', '10017', '994', '30004', '72700']"
"[17, 18]","[19, 18]","['70105', '31693', '51240', '66316', '49556']",49556,"['49556', '31693', '70105', '51240', '66316']"
"[0, 7]","[14, 7]","['66807', '10984', '15613', '72266', '25607']",25607,"['10984', '66807', '15613', '25607', '72266']"
"[9, 26]","[3, 26]","['6759', '7474', '50181', '23716', '9147']",9147,"['6759', '7474', '23716', '9147', '50181']"
"[18, 25]","[19, 25]","['62071', '25711', '4132', '73827', '26994']",26994,"['25711', '4132', '62071', '26994', '73827']"
"[5, 4]","[3, 4]","['2004', '63485', '70560', '35725', '11039']",11039,"['2004', '63485', '70560', '11039', '35725']"
"[9, 3]","[7, 3]","['14914', '74662', '64671', '9662', '52457']",52457,"['9662', '74662', '64671', '14914', '52457']"
"[15, 13]","[19, 13]","['24364', '20590', '25079', '34763', '42612']",42612,"['25079', '24364', '20590', '34763', '42612']"
"[0, 7]","[14, 7]","['72266', '15613', '66807', '10984', '38835']",38835,"['72266', '10984', '15613', '38835', '66807']"
"[5, 22]","[7, 22]","['40863', '48795', '7217', '57572', '40679']",40679,"['48795', '40679', '57572', '7217', '40863']"
"[9, 4]","[3, 4]","['80219', '50510', '79413', '64614', '11039']",11039,"['80219', '11039', '50510', '79413', '64614']"
"[15, 28]","[19, 28]","['23274', '67905', '3258', '38548', '55589']",55589,"['55589', '67905', '23274', '38548', '3258']"
"[14, 7]","[0, 7]","['77045', '51393', '25607', '67483', '66807']",66807,"['66807', '67483', '25607', '51393', '77045']"
"[19, 18]","[17, 18]","['58616', '36535', '29042', '41277', '21543']",21543,"['41277', '29042', '36535', '21543', '58616']"
"[17, 21]","[3, 21]","['40487', '9795', '78147', '62549', '57272']",57272,"['62549', '78147', '57272', '40487', '9795']"
"[3, 5]","[17, 5]","['12162', '63514', '74226', '64', '7913']",7913,"['63514', '74226', '7913', '12162', '64']"
"[9, 3]","[3, 3]","['64671', '9662', '74662', '1268', '72700']",72700,"['64671', '72700', '9662', '1268', '74662']"
"[19, 28]","[3, 28]","['52721', '42272', '55589', '23197', '55090']",55090,"['52721', '42272', '55090', '55589', '23197']"
"[9, 3]","[3, 3]","['74662', '9662', '64671', '1268', '994']",994,"['9662', '74662', '1268', '64671', '994']"
"[3, 21]","[17, 21]","['53064', '47060', '57272', '14038', '62454']",62454,"['53064', '57272', '47060', '62454', '14038']"
"[15, 13]","[19, 13]","['53137', '34763', '68970', '25079', '26354']",26354,"['68970', '25079', '34763', '26354', '53137']"
