base_cluster,other_cluster,group,outlier_id,llama_description_pick,options,last_option
3,"[5, 29]","['19796', '1181', '8257', '20968', '57316']",57316,8257,"['57316', '1181', '20968', '19796', '8257']",8257
0,"[14, 8]","['31926', '43629', '32703', '60860', '28694']",28694,60860,"['28694', '43629', '31926', '32703', '60860']",60860
9,"[19, 5]","['50181', '7474', '4186', '74662', '76431']",76431,74662,"['7474', '74662', '4186', '76431', '50181']",50181
19,"[4, 27]","['43324', '49556', '71082', '36535', '77515']",77515,49556,"['43324', '71082', '77515', '36535', '49556']",49556
14,"[19, 10]","['28732', '26506', '40877', '6508', '55791']",55791,26506,"['40877', '6508', '28732', '55791', '26506']",26506
15,"[5, 19]","['38548', '67905', '25079', '34763', '54232']",54232,67905,"['34763', '54232', '25079', '38548', '67905']",67905
19,"[3, 7]","['63902', '59952', '36396', '42272', '73164']",73164,42272,"['63902', '73164', '36396', '59952', '42272']",42272
7,"[3, 4]","['40679', '10825', '3536', '17550', '11039']",11039,3536,"['17550', '40679', '10825', '11039', '3536']",3536
18,"[0, 7]","['64148', '48306', '4132', '67584', '72266']",72266,72266,"['48306', '4132', '67584', '72266', '64148']",64148
7,"[14, 7]","['54372', '23132', '3536', '12376', '38835']",38835,3,"['23132', '12376', '54372', '3536', '38835']",38835
3,"[4, 27]","['9147', '37907', '10017', '55090', '5222']",5222,37907,"['9147', '5222', '55090', '10017', '37907']",37907
0,"[3, 28]","['17291', '25447', '28242', '60860', '42226']",42226,25447,"['60860', '42226', '17291', '28242', '25447']",25447
5,"[19, 5]","['77183', '53032', '51743', '40863', '63902']",63902,53032,"['51743', '40863', '77183', '63902', '53032']",53032
0,"[15, 13]","['43629', '62759', '75880', '43375', '34763']",34763,34763,"['43375', '62759', '75880', '43629', '34763']",34763
14,"[18, 25]","['40877', '25607', '40550', '39708', '25711']",25711,25711,"['25607', '40877', '40550', '39708', '25711']",25711
0,"[15, 28]","['75880', '70440', '44802', '37989', '10526']",10526,75880,"['10526', '44802', '70440', '37989', '75880']",75880
19,"[17, 18]","['35149', '43324', '41277', '73023', '31693']",31693,41277,"['43324', '31693', '73023', '41277', '35149']",35149
15,"[3, 3]","['47834', '7489', '60915', '53137', '72700']",72700,60915,"['53137', '60915', '47834', '72700', '7489']",7489
5,"[9, 26]","['57316', '27706', '51743', '48795', '23716']",23716,23716,"['27706', '48795', '57316', '51743', '23716']",23716
19,"[15, 13]","['72346', '52721', '71082', '33749', '24364']",24364,33749,"['71082', '24364', '52721', '72346', '33749']",33749
17,"[7, 3]","['62549', '21408', '69704', '6955', '52457']",52457,52457,"['69704', '52457', '62549', '6955', '21408']",21408
3,"[7, 3]","['49864', '73823', '177', '27821', '61767']",61767,73823,"['49864', '177', '27821', '61767', '73823']",73823
3,"[7, 22]","['38478', '4286', '9147', '994', '23132']",23132,994,"['4286', '38478', '9147', '23132', '994']",994
19,"[3, 4]","['76431', '26372', '37914', '42272', '20671']",20671,26372,"['76431', '20671', '42272', '37914', '26372']",26372
18,"[19, 8]","['42151', '61353', '12104', '72365', '71082']",71082,71082,"['61353', '12104', '72365', '71082', '42151']",42151
0,"[9, 3]","['39894', '66807', '8176', '67842', '1268']",1268,66807,"['39894', '8176', '67842', '1268', '66807']",66807
0,"[4, 27]","['31926', '42604', '80522', '49395', '70239']",70239,31926,"['80522', '49395', '42604', '70239', '31926']",31926
5,"[15, 28]","['51211', '48795', '51114', '63485', '10526']",10526,63485,"['10526', '51114', '51211', '48795', '63485']",63485
3,"[15, 17]","['10017', '1181', '72586', '32729', '11908']",11908,11908,"['10017', '72586', '1181', '32729', '11908']",11908
3,"[7, 1]","['22002', '177', '68096', '22487', '17550']",17550,68096,"['22487', '22002', '17550', '177', '68096']",68096
3,"[19, 14]","['4286', '38478', '34449', '20671', '26703']",26703,20671,"['4286', '34449', '38478', '26703', '20671']",20671
5,"[15, 28]","['18711', '49189', '35725', '21765', '10526']",10526,10526,"['21765', '10526', '35725', '49189', '18711']",18711
19,"[3, 16]","['43396', '76431', '35149', '64729', '56017']",56017,64729,"['43396', '76431', '56017', '35149', '64729']",64729
9,"[19, 10]","['335', '9662', '52758', '6759', '21540']",21540,9662,"['21540', '52758', '6759', '335', '9662']",9662
19,"[14, 7]","['43324', '17017', '36396', '64729', '51393']",51393,17017,"['36396', '17017', '64729', '51393', '43324']",43324
17,"[0, 6]","['66316', '31693', '7913', '62454', '49395']",49395,66316,"['62454', '7913', '31693', '49395', '66316']",66316
3,"[18, 25]","['42226', '1181', '9383', '19992', '4132']",4132,19992,"['42226', '19992', '4132', '1181', '9383']",9383
3,"[15, 17]","['20671', '73164', '38478', '30004', '47834']",47834,47834,"['30004', '38478', '73164', '20671', '47834']",47834
14,"[19, 28]","['67483', '14102', '28732', '6508', '43363']",43363,14102,"['67483', '6508', '43363', '28732', '14102']",14102
9,"[14, 9]","['14914', '6759', '78534', '50510', '39708']",39708,6759,"['50510', '78534', '14914', '39708', '6759']",6759
3,"[0, 2]","['68096', '49864', '1064', '47060', '45218']",45218,45218,"['49864', '1064', '47060', '68096', '45218']",45218
19,"[5, 19]","['71082', '59747', '59952', '36396', '77183']",77183,71082,"['36396', '59747', '77183', '59952', '71082']",71082
3,"[9, 4]","['34449', '64047', '74226', '64', '79413']",79413,74226,"['79413', '64', '34449', '64047', '74226']",74226
3,"[7, 22]","['19796', '20671', '37955', '37907', '79411']",79411,37955,"['19796', '79411', '20671', '37907', '37955']",37955
14,"[18, 25]","['14102', '40877', '6508', '77045', '62071']",62071,77045,"['62071', '40877', '6508', '14102', '77045']",77045
17,"[9, 11]","['50221', '31693', '66935', '33045', '335']",335,335,"['66935', '33045', '335', '31693', '50221']",50221
0,"[7, 20]","['72266', '60860', '67465', '59474', '54372']",54372,59474,"['60860', '72266', '54372', '67465', '59474']",59474
3,"[19, 5]","['64', '9383', '50906', '73164', '59952']",59952,9383,"['64', '59952', '50906', '9383', '73164']",73164
17,"[19, 8]","['69704', '50221', '66935', '70105', '6777']",6777,6777,"['69704', '70105', '66935', '50221', '6777']",6777
7,"[17, 5]","['17550', '31113', '16951', '53652', '72055']",72055,72055,"['31113', '53652', '17550', '16951', '72055']",72055
