base_cluster,other_cluster,options,outlier_id,last_option,phi_pick,qwen_pick
"[3, 4]","[9, 4]","['11039', '20671', '9383', '50510', '35787']",50510,35787,50510,20671
"[3, 4]","[9, 4]","['50510', '35787', '11039', '20671', '9383']",50510,9383,20671,50510
"[3, 5]","[19, 5]","['12162', '32569', '74226', '64', '63514']",32569,63514,64,64
"[3, 7]","[0, 7]","['19992', '73164', '4286', '19796', '72266']",72266,72266,72266,72266
"[3, 7]","[0, 7]","['4286', '73164', '30859', '65801', '19796']",65801,19796,19796,19796
"[3, 7]","[0, 7]","['65801', '19992', '19796', '73164', '37907']",65801,37907,37907,37907
"[3, 7]","[14, 7]","['37907', '4286', '19992', '25607', '19796']",25607,19796,19796,37907
"[3, 7]","[14, 7]","['67483', '37907', '19992', '30859', '19796']",67483,19796,30859,19796
"[3, 7]","[14, 7]","['73164', '4286', '19992', '30859', '77045']",77045,77045,30859,77045
"[5, 22]","[7, 22]","['40863', '7217', '40679', '77349', '57572']",40679,57572,57572,57572
"[5, 22]","[7, 22]","['7217', '40679', '48795', '40863', '57572']",40679,57572,57572,57572
"[5, 4]","[3, 4]","['2004', '9383', '53032', '70560', '51114']",9383,51114,51114,51114
"[5, 4]","[9, 4]","['53032', '50510', '2004', '70560', '27706']",50510,27706,2004,53032
"[5, 4]","[9, 4]","['64614', '63485', '35725', '70560', '51114']",64614,51114,51114,63485
"[5, 4]","[9, 4]","['70560', '80219', '2004', '53032', '62609']",80219,62609,62609,62609
"[7, 22]","[5, 22]","['79411', '48795', '31113', '40679', '23132']",48795,23132,40679,23132
"[7, 3]","[3, 3]","['75828', '52457', '61767', '994', '64781']",994,64781,64781,64781
"[7, 3]","[9, 3]","['61767', '75828', '52457', '64671', '64781']",64671,64781,64781,75828
"[7, 3]","[9, 3]","['75828', '64671', '52457', '64781', '61767']",64671,61767,52457,64671
"[9, 26]","[3, 26]","['6759', '27788', '23716', '50181', '18887']",18887,18887,50181,18887
"[9, 3]","[3, 3]","['64671', '14914', '1268', '30004', '9662']",30004,9662,30004,1268
"[9, 3]","[3, 3]","['74662', '9662', '64671', '14914', '30004']",30004,30004,30004,30004
"[9, 3]","[7, 3]","['14914', '64671', '1268', '75828', '9662']",75828,9662,9662,64671
